m,kW/m2,kW/m2,kW/m2,kW/m2,m,kW/m2,kW/m2,kW/m2,kW/m2
x distance,f000,f050,f100,f150,y distance,s000,s050,s100,s150
 4.500E-01, 6.979E+00, 1.814E+01, 1.770E+01, 9.251E+00, 4.500E-01, 6.909E+00, 1.773E+01, 1.756E+01, 9.441E+00
 5.000E-01, 6.442E+00, 1.572E+01, 1.541E+01, 8.320E+00, 5.000E-01, 6.361E+00, 1.536E+01, 1.526E+01, 8.442E+00
 5.500E-01, 5.940E+00, 1.370E+01, 1.349E+01, 7.512E+00, 5.500E-01, 5.850E+00, 1.338E+01, 1.333E+01, 7.581E+00
 6.000E-01, 5.469E+00, 1.200E+01, 1.186E+01, 6.796E+00, 6.000E-01, 5.374E+00, 1.172E+01, 1.170E+01, 6.825E+00
 6.500E-01, 5.027E+00, 1.056E+01, 1.046E+01, 6.156E+00, 6.500E-01, 4.929E+00, 1.030E+01, 1.030E+01, 6.153E+00
 7.000E-01, 4.614E+00, 9.324E+00, 9.263E+00, 5.578E+00, 7.000E-01, 4.514E+00, 9.087E+00, 9.102E+00, 5.551E+00
 7.500E-01, 4.228E+00, 8.256E+00, 8.222E+00, 5.056E+00, 7.500E-01, 4.129E+00, 8.039E+00, 8.064E+00, 5.010E+00
 8.000E-01, 3.868E+00, 7.328E+00, 7.316E+00, 4.582E+00, 8.000E-01, 3.771E+00, 7.128E+00, 7.162E+00, 4.522E+00
 8.500E-01, 3.535E+00, 6.519E+00, 6.525E+00, 4.153E+00, 8.500E-01, 3.440E+00, 6.334E+00, 6.374E+00, 4.083E+00
 9.000E-01, 3.226E+00, 5.810E+00, 5.830E+00, 3.765E+00, 9.000E-01, 3.134E+00, 5.638E+00, 5.683E+00, 3.688E+00
 9.500E-01, 2.942E+00, 5.186E+00, 5.217E+00, 3.413E+00, 9.500E-01, 2.853E+00, 5.026E+00, 5.075E+00, 3.332E+00
 1.000E+00, 2.680E+00, 4.637E+00, 4.675E+00, 3.096E+00, 1.000E+00, 2.595E+00, 4.486E+00, 4.537E+00, 3.012E+00
 1.050E+00, 2.439E+00, 4.150E+00, 4.194E+00, 2.809E+00, 1.050E+00, 2.358E+00, 4.009E+00, 4.061E+00, 2.724E+00
