m,kW/m2,kW/m2,kW/m2,kW/m2,m,kW/m2,kW/m2,kW/m2,kW/m2
x distance,f000,f050,f100,f150,y distance,s000,s050,s100,s150
 4.500E-01, 8.437E+00, 1.571E+01, 1.021E+01, 3.622E+00, 4.500E-01, 9.963E+00, 1.864E+01, 1.075E+01, 3.431E+00
 5.000E-01, 7.672E+00, 1.373E+01, 9.134E+00, 3.435E+00, 5.000E-01, 8.710E+00, 1.582E+01, 9.429E+00, 3.198E+00
 5.500E-01, 6.987E+00, 1.206E+01, 8.198E+00, 3.261E+00, 5.500E-01, 7.648E+00, 1.352E+01, 8.304E+00, 2.981E+00
 6.000E-01, 6.372E+00, 1.065E+01, 7.377E+00, 3.090E+00, 6.000E-01, 6.738E+00, 1.162E+01, 7.335E+00, 2.774E+00
 6.500E-01, 5.819E+00, 9.452E+00, 6.653E+00, 2.919E+00, 6.500E-01, 5.951E+00, 1.004E+01, 6.492E+00, 2.574E+00
 7.000E-01, 5.320E+00, 8.418E+00, 6.012E+00, 2.746E+00, 7.000E-01, 5.265E+00, 8.701E+00, 5.756E+00, 2.381E+00
 7.500E-01, 4.868E+00, 7.522E+00, 5.444E+00, 2.572E+00, 7.500E-01, 4.666E+00, 7.570E+00, 5.110E+00, 2.194E+00
 8.000E-01, 4.459E+00, 6.741E+00, 4.939E+00, 2.398E+00, 8.000E-01, 4.139E+00, 6.606E+00, 4.543E+00, 2.015E+00
 8.500E-01, 4.088E+00, 6.058E+00, 4.488E+00, 2.229E+00, 8.500E-01, 3.676E+00, 5.779E+00, 4.042E+00, 1.845E+00
 9.000E-01, 3.749E+00, 5.456E+00, 4.085E+00, 2.064E+00, 9.000E-01, 3.267E+00, 5.067E+00, 3.600E+00, 1.686E+00
 9.500E-01, 3.440E+00, 4.925E+00, 3.722E+00, 1.907E+00, 9.500E-01, 2.906E+00, 4.452E+00, 3.210E+00, 1.538E+00
 1.000E+00, 3.157E+00, 4.454E+00, 3.395E+00, 1.758E+00, 1.000E+00, 2.587E+00, 3.917E+00, 2.864E+00, 1.401E+00
 1.050E+00, 2.897E+00, 4.035E+00, 3.099E+00, 1.619E+00, 1.050E+00, 2.304E+00, 3.452E+00, 2.557E+00, 1.275E+00
 1.100E+00, 2.658E+00, 3.661E+00, 2.829E+00, 1.490E+00, 1.100E+00, 2.053E+00, 3.047E+00, 2.284E+00, 1.160E+00
 1.150E+00, 2.438E+00, 3.326E+00, 2.582E+00, 1.372E+00, 1.150E+00, 1.830E+00, 2.692E+00, 2.042E+00, 1.055E+00
 1.200E+00, 2.236E+00, 3.026E+00, 2.356E+00, 1.263E+00, 1.200E+00, 1.632E+00, 2.381E+00, 1.826E+00, 9.586E-01
 1.250E+00, 2.049E+00, 2.756E+00, 2.149E+00, 1.163E+00, 1.250E+00, 1.456E+00, 2.109E+00, 1.634E+00, 8.713E-01
 1.300E+00, 1.878E+00, 2.512E+00, 1.958E+00, 1.072E+00, 1.300E+00, 1.299E+00, 1.869E+00, 1.462E+00, 7.917E-01
 1.350E+00, 1.719E+00, 2.291E+00, 1.783E+00, 9.885E-01, 1.350E+00, 1.160E+00, 1.658E+00, 1.309E+00, 7.193E-01
 1.400E+00, 1.573E+00, 2.091E+00, 1.622E+00, 9.120E-01, 1.400E+00, 1.037E+00, 1.471E+00, 1.173E+00, 6.533E-01
 1.450E+00, 1.438E+00, 1.910E+00, 1.474E+00, 8.417E-01, 1.450E+00, 9.266E-01, 1.307E+00, 1.051E+00, 5.932E-01
 1.500E+00, 1.314E+00, 1.744E+00, 1.338E+00, 7.768E-01, 1.500E+00, 8.286E-01, 1.161E+00, 9.421E-01, 5.384E-01
 1.550E+00, 1.200E+00, 1.594E+00, 1.215E+00, 7.168E-01, 1.550E+00, 7.414E-01, 1.033E+00, 8.449E-01, 4.885E-01
 1.600E+00, 1.095E+00, 1.456E+00, 1.102E+00, 6.611E-01, 1.600E+00, 6.638E-01, 9.184E-01, 7.580E-01, 4.432E-01
 1.650E+00, 9.989E-01, 1.329E+00, 9.986E-01, 6.093E-01, 1.650E+00, 5.946E-01, 8.171E-01, 6.804E-01, 4.019E-01
 1.700E+00, 9.105E-01, 1.214E+00, 9.050E-01, 5.610E-01, 1.700E+00, 5.330E-01, 7.272E-01, 6.110E-01, 3.644E-01
 1.750E+00, 8.294E-01, 1.108E+00, 8.202E-01, 5.160E-01, 1.750E+00, 4.780E-01, 6.474E-01, 5.490E-01, 3.304E-01
 1.800E+00, 7.551E-01, 1.010E+00, 7.434E-01, 4.740E-01, 1.800E+00, 4.291E-01, 5.764E-01, 4.935E-01, 2.995E-01
 1.850E+00, 6.870E-01, 9.211E-01, 6.739E-01, 4.349E-01, 1.850E+00, 3.854E-01, 5.133E-01, 4.439E-01, 2.716E-01
 1.900E+00, 6.248E-01, 8.391E-01, 6.112E-01, 3.984E-01, 1.900E+00, 3.463E-01, 4.572E-01, 3.995E-01, 2.464E-01
 1.950E+00, 5.680E-01, 7.639E-01, 5.546E-01, 3.646E-01, 1.950E+00, 3.115E-01, 4.072E-01, 3.597E-01, 2.236E-01
 2.000E+00, 5.160E-01, 6.948E-01, 5.036E-01, 3.331E-01, 2.000E+00, 2.804E-01, 3.628E-01, 3.240E-01, 2.031E-01
 2.050E+00, 4.687E-01, 6.314E-01, 4.576E-01, 3.040E-01, 2.050E+00, 2.526E-01, 3.233E-01, 2.920E-01, 1.846E-01
 2.100E+00, 4.255E-01, 5.733E-01, 4.161E-01, 2.772E-01, 2.100E+00, 2.277E-01, 2.881E-01, 2.633E-01, 1.680E-01
