m,kW/m2,kW/m2,kW/m2,kW/m2,m,kW/m2,kW/m2,kW/m2,kW/m2
x distance,f000,f050,f100,f150,y distance,s000,s050,s100,s150
 4.500E-01, 6.384E+00, 1.315E+01, 8.483E+00, 2.824E+00, 4.500E-01, 6.391E+00, 1.333E+01, 8.810E+00, 2.909E+00
 5.000E-01, 5.709E+00, 1.123E+01, 7.437E+00, 2.628E+00, 5.000E-01, 5.724E+00, 1.140E+01, 7.700E+00, 2.704E+00
 5.500E-01, 5.108E+00, 9.656E+00, 6.540E+00, 2.444E+00, 5.500E-01, 5.130E+00, 9.803E+00, 6.753E+00, 2.512E+00
 6.000E-01, 4.572E+00, 8.343E+00, 5.765E+00, 2.268E+00, 6.000E-01, 4.598E+00, 8.473E+00, 5.939E+00, 2.328E+00
 6.500E-01, 4.094E+00, 7.239E+00, 5.091E+00, 2.097E+00, 6.500E-01, 4.122E+00, 7.355E+00, 5.235E+00, 2.150E+00
 7.000E-01, 3.666E+00, 6.305E+00, 4.505E+00, 1.931E+00, 7.000E-01, 3.695E+00, 6.407E+00, 4.624E+00, 1.977E+00
 7.500E-01, 3.282E+00, 5.508E+00, 3.993E+00, 1.771E+00, 7.500E-01, 3.312E+00, 5.599E+00, 4.093E+00, 1.812E+00
 8.000E-01, 2.939E+00, 4.826E+00, 3.545E+00, 1.620E+00, 8.000E-01, 2.969E+00, 4.905E+00, 3.629E+00, 1.655E+00
 8.500E-01, 2.632E+00, 4.237E+00, 3.152E+00, 1.477E+00, 8.500E-01, 2.661E+00, 4.308E+00, 3.223E+00, 1.507E+00
 9.000E-01, 2.357E+00, 3.729E+00, 2.806E+00, 1.344E+00, 9.000E-01, 2.385E+00, 3.790E+00, 2.866E+00, 1.370E+00
 9.500E-01, 2.111E+00, 3.287E+00, 2.501E+00, 1.221E+00, 9.500E-01, 2.137E+00, 3.341E+00, 2.553E+00, 1.243E+00
 1.000E+00, 1.890E+00, 2.903E+00, 2.232E+00, 1.108E+00, 1.000E+00, 1.914E+00, 2.950E+00, 2.276E+00, 1.127E+00
 1.050E+00, 1.692E+00, 2.567E+00, 1.993E+00, 1.006E+00, 1.050E+00, 1.715E+00, 2.609E+00, 2.030E+00, 1.022E+00
 1.100E+00, 1.515E+00, 2.273E+00, 1.781E+00, 9.120E-01, 1.100E+00, 1.536E+00, 2.310E+00, 1.812E+00, 9.258E-01
 1.150E+00, 1.357E+00, 2.016E+00, 1.591E+00, 8.271E-01, 1.150E+00, 1.376E+00, 2.048E+00, 1.618E+00, 8.388E-01
 1.200E+00, 1.215E+00, 1.789E+00, 1.423E+00, 7.501E-01, 1.200E+00, 1.233E+00, 1.817E+00, 1.446E+00, 7.601E-01
 1.250E+00, 1.087E+00, 1.589E+00, 1.272E+00, 6.802E-01, 1.250E+00, 1.104E+00, 1.614E+00, 1.292E+00, 6.888E-01
 1.300E+00, 9.736E-01, 1.413E+00, 1.138E+00, 6.169E-01, 1.300E+00, 9.890E-01, 1.434E+00, 1.154E+00, 6.242E-01
 1.350E+00, 8.717E-01, 1.257E+00, 1.017E+00, 5.594E-01, 1.350E+00, 8.859E-01, 1.276E+00, 1.031E+00, 5.657E-01
 1.400E+00, 7.806E-01, 1.119E+00, 9.101E-01, 5.073E-01, 1.400E+00, 7.936E-01, 1.135E+00, 9.220E-01, 5.126E-01
 1.450E+00, 6.990E-01, 9.962E-01, 8.142E-01, 4.599E-01, 1.450E+00, 7.111E-01, 1.011E+00, 8.242E-01, 4.644E-01
 1.500E+00, 6.261E-01, 8.873E-01, 7.285E-01, 4.168E-01, 1.500E+00, 6.372E-01, 8.998E-01, 7.370E-01, 4.206E-01
 1.550E+00, 5.609E-01, 7.905E-01, 6.520E-01, 3.776E-01, 1.550E+00, 5.711E-01, 8.013E-01, 6.593E-01, 3.809E-01
 1.600E+00, 5.027E-01, 7.043E-01, 5.838E-01, 3.420E-01, 1.600E+00, 5.120E-01, 7.137E-01, 5.900E-01, 3.448E-01
 1.650E+00, 4.506E-01, 6.275E-01, 5.229E-01, 3.097E-01, 1.650E+00, 4.592E-01, 6.357E-01, 5.282E-01, 3.120E-01
 1.700E+00, 4.041E-01, 5.590E-01, 4.685E-01, 2.804E-01, 1.700E+00, 4.120E-01, 5.661E-01, 4.731E-01, 2.823E-01
 1.750E+00, 3.625E-01, 4.980E-01, 4.200E-01, 2.539E-01, 1.750E+00, 3.697E-01, 5.042E-01, 4.240E-01, 2.554E-01
 1.800E+00, 3.253E-01, 4.436E-01, 3.768E-01, 2.298E-01, 1.800E+00, 3.320E-01, 4.490E-01, 3.802E-01, 2.311E-01
 1.850E+00, 2.921E-01, 3.951E-01, 3.381E-01, 2.081E-01, 1.850E+00, 2.983E-01, 3.997E-01, 3.412E-01, 2.091E-01
 1.900E+00, 2.625E-01, 3.519E-01, 3.036E-01, 1.885E-01, 1.900E+00, 2.681E-01, 3.559E-01, 3.064E-01, 1.893E-01
 1.950E+00, 2.360E-01, 3.133E-01, 2.728E-01, 1.708E-01, 1.950E+00, 2.411E-01, 3.167E-01, 2.753E-01, 1.715E-01
 2.000E+00, 2.123E-01, 2.790E-01, 2.453E-01, 1.549E-01, 2.000E+00, 2.170E-01, 2.819E-01, 2.475E-01, 1.554E-01
 2.050E+00, 1.911E-01, 2.484E-01, 2.206E-01, 1.406E-01, 2.050E+00, 1.954E-01, 2.509E-01, 2.226E-01, 1.409E-01
 2.100E+00, 1.721E-01, 2.211E-01, 1.985E-01, 1.278E-01, 2.100E+00, 1.760E-01, 2.233E-01, 2.004E-01, 1.280E-01
