m,kW/m2,kW/m2,kW/m2,kW/m2,m,kW/m2,kW/m2,kW/m2,kW/m2
x distance,f000,f050,f100,f150,y distance,s000,s050,s100,s150
 4.500E-01, 7.144E+00, 1.957E+01, 2.190E+01, 1.365E+01, 4.500E-01, 7.109E+00, 1.863E+01, 2.011E+01, 1.253E+01
 5.000E-01, 6.645E+00, 1.704E+01, 1.900E+01, 1.209E+01, 5.000E-01, 6.601E+00, 1.625E+01, 1.756E+01, 1.120E+01
 5.500E-01, 6.174E+00, 1.493E+01, 1.659E+01, 1.077E+01, 5.500E-01, 6.123E+00, 1.427E+01, 1.543E+01, 1.005E+01
 6.000E-01, 5.728E+00, 1.314E+01, 1.456E+01, 9.636E+00, 6.000E-01, 5.673E+00, 1.259E+01, 1.361E+01, 9.043E+00
 6.500E-01, 5.306E+00, 1.162E+01, 1.283E+01, 8.647E+00, 6.500E-01, 5.248E+00, 1.116E+01, 1.205E+01, 8.154E+00
 7.000E-01, 4.906E+00, 1.031E+01, 1.135E+01, 7.774E+00, 7.000E-01, 4.847E+00, 9.915E+00, 1.071E+01, 7.361E+00
 7.500E-01, 4.528E+00, 9.174E+00, 1.007E+01, 6.998E+00, 7.500E-01, 4.470E+00, 8.838E+00, 9.538E+00, 6.652E+00
 8.000E-01, 4.173E+00, 8.182E+00, 8.966E+00, 6.307E+00, 8.000E-01, 4.116E+00, 7.895E+00, 8.518E+00, 6.016E+00
 8.500E-01, 3.840E+00, 7.311E+00, 7.998E+00, 5.690E+00, 8.500E-01, 3.785E+00, 7.067E+00, 7.624E+00, 5.445E+00
 9.000E-01, 3.528E+00, 6.545E+00, 7.149E+00, 5.137E+00, 9.000E-01, 3.475E+00, 6.336E+00, 6.836E+00, 4.932E+00
 9.500E-01, 3.238E+00, 5.868E+00, 6.400E+00, 4.642E+00, 9.500E-01, 3.187E+00, 5.689E+00, 6.139E+00, 4.471E+00
 1.000E+00, 2.968E+00, 5.267E+00, 5.738E+00, 4.198E+00, 1.000E+00, 2.919E+00, 5.114E+00, 5.519E+00, 4.055E+00
 1.050E+00, 2.718E+00, 4.734E+00, 5.151E+00, 3.800E+00, 1.050E+00, 2.672E+00, 4.602E+00, 4.967E+00, 3.681E+00
 1.100E+00, 2.488E+00, 4.258E+00, 4.627E+00, 3.442E+00, 1.100E+00, 2.443E+00, 4.144E+00, 4.474E+00, 3.344E+00
 1.150E+00, 2.275E+00, 3.833E+00, 4.160E+00, 3.121E+00, 1.150E+00, 2.232E+00, 3.735E+00, 4.033E+00, 3.040E+00
 1.200E+00, 2.079E+00, 3.452E+00, 3.742E+00, 2.831E+00, 1.200E+00, 2.038E+00, 3.368E+00, 3.636E+00, 2.765E+00
