m,kW/m2,kW/m2,kW/m2,kW/m2,m,kW/m2,kW/m2,kW/m2,kW/m2
x distance,f000,f050,f100,f150,y distance,s000,s050,s100,s150
 4.500E-01, 6.696E+00, 1.593E+01, 1.346E+01, 5.642E+00, 4.500E-01, 6.815E+00, 1.671E+01, 1.409E+01, 6.005E+00
 5.000E-01, 6.100E+00, 1.372E+01, 1.171E+01, 5.153E+00, 5.000E-01, 6.214E+00, 1.434E+01, 1.224E+01, 5.445E+00
 5.500E-01, 5.555E+00, 1.189E+01, 1.024E+01, 4.713E+00, 5.500E-01, 5.662E+00, 1.239E+01, 1.068E+01, 4.953E+00
 6.000E-01, 5.055E+00, 1.035E+01, 8.995E+00, 4.311E+00, 6.000E-01, 5.154E+00, 1.076E+01, 9.361E+00, 4.509E+00
 6.500E-01, 4.597E+00, 9.052E+00, 7.924E+00, 3.939E+00, 6.500E-01, 4.686E+00, 9.395E+00, 8.231E+00, 4.103E+00
 7.000E-01, 4.176E+00, 7.945E+00, 7.001E+00, 3.595E+00, 7.000E-01, 4.256E+00, 8.230E+00, 7.259E+00, 3.730E+00
 7.500E-01, 3.790E+00, 6.995E+00, 6.202E+00, 3.276E+00, 7.500E-01, 3.861E+00, 7.234E+00, 6.418E+00, 3.387E+00
 8.000E-01, 3.437E+00, 6.174E+00, 5.507E+00, 2.982E+00, 8.000E-01, 3.500E+00, 6.375E+00, 5.689E+00, 3.073E+00
 8.500E-01, 3.115E+00, 5.463E+00, 4.901E+00, 2.711E+00, 8.500E-01, 3.170E+00, 5.632E+00, 5.053E+00, 2.785E+00
 9.000E-01, 2.822E+00, 4.843E+00, 4.369E+00, 2.464E+00, 9.000E-01, 2.869E+00, 4.986E+00, 4.497E+00, 2.522E+00
 9.500E-01, 2.554E+00, 4.302E+00, 3.901E+00, 2.238E+00, 9.500E-01, 2.595E+00, 4.422E+00, 4.008E+00, 2.283E+00
 1.000E+00, 2.311E+00, 3.827E+00, 3.488E+00, 2.033E+00, 1.000E+00, 2.346E+00, 3.928E+00, 3.576E+00, 2.067E+00
 1.050E+00, 2.090E+00, 3.409E+00, 3.122E+00, 1.847E+00, 1.050E+00, 2.120E+00, 3.494E+00, 3.194E+00, 1.871E+00
 1.100E+00, 1.890E+00, 3.041E+00, 2.796E+00, 1.678E+00, 1.100E+00, 1.915E+00, 3.112E+00, 2.855E+00, 1.694E+00
