s,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/m2/s,C,C,kW/m2,m
Time,mdot_hexane,mdot_heptane,mdot_octane,mdot_decane,mdot_benzene,mdot_toluene,mdot,Tsurf,Tsurf_max,flux,delta
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.000E+01, 2.000E+01, 9.000E+00, 5.500E-02
 1.001E+01,-8.194E-05,-3.177E-06,-1.461E-06,-9.428E-08,-1.466E-05,-4.533E-06, 1.059E-04, 2.629E+01, 2.731E+01, 4.695E+00, 5.500E-02
 2.001E+01,-1.171E-04,-4.663E-06,-2.178E-06,-1.434E-07,-2.125E-05,-6.645E-06, 1.519E-04, 2.884E+01, 3.401E+01, 9.616E-01, 5.500E-02
 3.000E+01,-1.224E-04,-5.023E-06,-2.383E-06,-1.598E-07,-2.264E-05,-7.169E-06, 1.598E-04, 2.993E+01, 4.055E+01, 1.009E+00, 5.499E-02
 4.000E+01,-1.278E-04,-5.420E-06,-2.616E-06,-1.791E-07,-2.415E-05,-7.753E-06, 1.679E-04, 3.106E+01, 4.606E+01, 1.049E+00, 5.499E-02
 5.000E+01,-1.348E-04,-5.934E-06,-2.921E-06,-2.048E-07,-2.611E-05,-8.516E-06, 1.785E-04, 3.228E+01, 5.266E+01, 1.108E+00, 5.499E-02
 6.001E+01,-1.416E-04,-6.510E-06,-3.281E-06,-2.367E-07,-2.825E-05,-9.385E-06, 1.893E-04, 3.351E+01, 6.145E+01, 1.163E+00, 5.498E-02
 7.000E+01,-2.079E-04,-7.347E-06,-3.802E-06,-2.836E-07,-3.141E-05,-1.065E-05, 2.614E-04, 3.483E+01, 6.984E+01, 1.446E+00, 5.497E-02
 8.000E+01,-1.555E-03,-1.018E-05,-5.500E-06,-4.385E-07,-4.239E-05,-1.476E-05, 1.629E-03, 3.831E+01, 7.645E+01, 4.757E+00, 5.486E-02
 9.000E+01,-7.766E-03,-1.447E-05,-8.185E-06,-6.997E-07,-7.752E-05,-2.088E-05, 7.888E-03, 4.670E+01, 8.215E+01, 1.168E+01, 5.391E-02
