s,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/m2/s,C,C,kW/m2,m
Time,mdot_iso-octane,mdot_nonane,mdot_iso-nonane,mdot_decane,mdot_iso-decane,mdot_undecane,mdot_decalin,mdot,Tsurf,Tsurf_max,flux,delta
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.000E+01, 2.000E+01, 3.600E+01, 6.000E-02
 1.003E+01,-4.332E-06,-3.773E-06,-1.660E-06,-1.493E-06,-1.466E-06,-4.663E-07,-2.103E-06, 1.529E-05, 4.994E+01, 5.042E+01, 3.589E+01, 6.000E-02
 2.000E+01,-3.072E-02,-6.489E-05,-2.903E-03,-1.342E-05,-1.223E-05,-4.790E-06,-1.429E-05, 3.374E-02, 1.135E+02, 1.183E+02, 5.365E+01, 5.986E-02
 3.000E+01,-3.158E-12,-5.613E-02,-8.175E-02,-5.112E-05,-6.496E-05,-1.961E-05,-5.048E-05, 1.381E-01, 1.590E+02, 1.657E+02, 3.812E+01, 5.857E-02
 4.000E+01,-2.635E-19,-6.932E-02,-6.689E-03,-1.201E-04,-2.426E-03,-1.945E-06,-4.894E-06, 7.856E-02, 1.671E+02, 1.714E+02, 3.144E+01, 5.660E-02
 5.000E+01,-3.943E-19,-1.437E-02,-4.578E-04,-3.889E-03,-4.192E-02,-3.119E-05,-7.808E-05, 6.075E-02, 1.753E+02, 1.803E+02, 3.278E+01, 5.588E-02
 6.000E+01,-4.653E-19,-3.879E-03,-1.616E-04,-5.629E-02,-3.123E-02,-9.890E-06,-2.473E-05, 9.160E-02, 1.759E+02, 1.847E+02, 3.179E+01, 5.433E-02
 7.000E+01,-3.691E-19,-1.489E-03,-7.004E-05,-3.549E-02,-7.306E-03,-3.661E-04,-1.200E-03, 4.592E-02, 1.834E+02, 1.941E+02, 3.182E+01, 5.357E-02
 8.000E+01,-1.635E-19,-3.514E-04,-1.296E-05,-1.416E-02,-1.226E-03,-1.897E-03,-1.008E-02, 2.772E-02, 1.894E+02, 1.966E+02, 4.087E+01, 5.337E-02
 9.000E+01,-1.615E-19,-4.403E-05,-1.591E-06,-3.584E-03,-1.299E-04,-2.900E-03,-1.733E-02, 2.399E-02, 1.932E+02, 1.975E+02, 4.020E+01, 5.308E-02
 1.000E+02,-2.643E-19,-7.710E-06,-2.331E-07,-1.147E-03,-2.200E-05,-3.379E-03,-2.602E-02, 3.058E-02, 1.940E+02, 1.975E+02, 3.865E+01, 5.263E-02
