s,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/m2/s,C,C,kW/m2,m
Time,mdot_hexane,mdot_heptane,mdot_octane,mdot_decane,mdot_benzene,mdot_toluene,mdot,Tsurf,Tsurf_max,flux,delta
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.000E+01, 2.000E+01, 9.000E+00, 5.100E-02
 1.002E+01,-6.487E-05,-2.514E-06,-1.156E-06,-7.467E-08,-1.160E-05,-3.585E-06, 8.380E-05, 2.656E+01, 2.757E+01, 4.461E+00, 5.100E-02
 2.002E+01,-8.833E-05,-3.530E-06,-1.657E-06,-1.103E-07,-1.598E-05,-5.005E-06, 1.146E-04, 3.021E+01, 3.404E+01, 6.089E-01, 5.100E-02
 3.001E+01,-9.683E-05,-3.971E-06,-1.891E-06,-1.281E-07,-1.779E-05,-5.633E-06, 1.262E-04, 3.149E+01, 3.883E+01, 6.756E-01, 5.099E-02
 4.001E+01,-9.870E-05,-4.154E-06,-2.004E-06,-1.377E-07,-1.846E-05,-5.907E-06, 1.294E-04, 3.220E+01, 4.297E+01, 6.864E-01, 5.099E-02
 5.001E+01,-1.020E-04,-4.409E-06,-2.156E-06,-1.504E-07,-1.944E-05,-6.294E-06, 1.344E-04, 3.277E+01, 4.740E+01, 7.120E-01, 5.099E-02
 6.000E+01,-1.043E-04,-4.645E-06,-2.305E-06,-1.635E-07,-2.032E-05,-6.661E-06, 1.384E-04, 3.329E+01, 5.173E+01, 7.238E-01, 5.099E-02
 7.000E+01,-1.056E-04,-4.862E-06,-2.453E-06,-1.772E-07,-2.109E-05,-7.013E-06, 1.412E-04, 3.381E+01, 5.651E+01, 7.313E-01, 5.098E-02
 8.001E+01,-1.092E-04,-5.198E-06,-2.668E-06,-1.964E-07,-2.236E-05,-7.544E-06, 1.472E-04, 3.434E+01, 6.144E+01, 7.571E-01, 5.098E-02
 9.001E+01,-1.113E-04,-5.442E-06,-2.835E-06,-2.126E-07,-2.323E-05,-7.933E-06, 1.510E-04, 3.491E+01, 6.582E+01, 7.693E-01, 5.097E-02
 1.000E+02,-4.515E-04,-6.253E-06,-3.328E-06,-2.570E-07,-5.347E-05,-9.156E-06, 5.240E-04, 3.589E+01, 7.058E+01, 1.834E+00, 5.097E-02
 1.100E+02,-3.804E-03,-1.732E-04,-4.171E-05,-4.384E-07,-8.377E-04,-2.918E-04, 5.148E-03, 4.279E+01, 8.460E+01, 9.497E+00, 5.091E-02
 1.200E+02,-1.609E-02,-1.027E-03,-7.895E-04,-2.336E-04,-4.394E-03,-2.262E-03, 2.480E-02, 7.118E+01, 2.429E+02, 2.698E+01, 5.023E-02
