s,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/m2/s,C,C,kW/m2,m
Time,mdot_hexane,mdot_heptane,mdot_octane,mdot_decane,mdot_benzene,mdot_toluene,mdot,Tsurf,Tsurf_max,flux,delta
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.000E+01, 2.000E+01, 9.000E+00, 5.200E-02
 1.000E+01,-8.200E-05,-3.184E-06,-1.465E-06,-9.462E-08,-1.469E-05,-4.544E-06, 1.060E-04, 2.632E+01, 2.732E+01, 4.670E+00, 5.200E-02
 2.001E+01,-1.179E-04,-4.726E-06,-2.214E-06,-1.461E-07,-2.150E-05,-6.740E-06, 1.533E-04, 2.902E+01, 3.430E+01, 9.498E-01, 5.200E-02
 3.001E+01,-1.231E-04,-5.113E-06,-2.439E-06,-1.645E-07,-2.297E-05,-7.307E-06, 1.611E-04, 3.033E+01, 4.053E+01, 9.927E-01, 5.199E-02
 4.001E+01,-1.306E-04,-5.648E-06,-2.753E-06,-1.905E-07,-2.501E-05,-8.097E-06, 1.723E-04, 3.176E+01, 4.716E+01, 1.053E+00, 5.199E-02
 5.001E+01,-1.377E-04,-6.235E-06,-3.111E-06,-2.213E-07,-2.721E-05,-8.982E-06, 1.835E-04, 3.320E+01, 5.472E+01, 1.109E+00, 5.199E-02
 6.001E+01,-1.446E-04,-6.898E-06,-3.540E-06,-2.601E-07,-2.964E-05,-1.001E-05, 1.949E-04, 3.465E+01, 6.224E+01, 1.167E+00, 5.198E-02
 7.000E+01,-5.719E-04,-8.380E-06,-4.434E-06,-3.396E-07,-5.252E-05,-1.221E-05, 6.498E-04, 3.654E+01, 7.068E+01, 2.390E+00, 5.197E-02
 8.000E+01,-4.895E-03,-9.853E-05,-6.858E-06,-5.682E-07,-5.345E-04,-1.084E-04, 5.644E-03, 4.341E+01, 7.491E+01, 9.302E+00, 5.148E-02
 9.000E+01,-1.565E-02,-6.249E-04,-2.427E-04,-7.902E-07,-2.937E-03,-1.281E-03, 2.074E-02, 5.671E+01, 8.961E+01, 2.016E+01, 5.061E-02
 1.000E+02,-2.681E-02,-1.817E-03,-1.513E-03,-3.524E-04,-7.641E-03,-4.399E-03, 4.254E-02, 7.815E+01, 2.388E+02, 3.218E+01, 4.995E-02
 1.100E+02,-1.932E-02,-2.566E-03,-3.225E-03,-1.192E-03,-9.238E-03,-6.652E-03, 4.219E-02, 1.450E+02, 3.604E+02, 4.353E+01, 4.974E-02
 1.200E+02,-6.242E-03,-1.479E-03,-2.010E-03,-8.060E-04,-5.455E-03,-4.106E-03, 2.010E-02, 2.988E+02, 5.787E+02, 5.094E+01, 4.974E-02
 1.300E+02,-1.152E-03,-7.874E-04,-1.138E-03,-4.185E-04,-2.159E-03,-2.071E-03, 7.726E-03, 3.484E+02, 5.557E+02, 2.824E+01, 4.974E-02
 1.400E+02,-1.749E-04,-2.796E-04,-6.380E-04,-2.452E-04,-6.041E-04,-9.648E-04, 2.907E-03, 3.009E+02, 4.667E+02, 7.934E+00, 4.974E-02
 1.500E+02,-1.638E-05,-9.888E-05,-2.386E-04,-1.858E-04,-1.890E-04,-3.575E-04, 1.086E-03, 2.423E+02, 4.016E+02, 1.079E-01, 4.974E-02
 1.600E+02,-1.749E-21,-3.281E-05,-8.207E-05,-5.569E-05,-5.844E-05,-1.339E-04, 3.629E-04, 1.987E+02, 2.773E+02,-2.475E+00, 4.974E-02
 1.700E+02,-3.380E-22,-8.681E-06,-2.367E-05,-1.701E-05,-8.863E-07,-3.037E-05, 8.062E-05, 1.711E+02, 2.164E+02,-2.516E+00, 4.974E-02
 1.800E+02,-8.651E-24,-6.601E-24,-4.246E-14,-2.471E-06,-8.498E-24,-8.678E-15, 2.471E-06, 1.527E+02, 1.953E+02,-2.237E+00, 4.974E-02
