s,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/m2/s,C,C,kW/m2,m
Time,mdot_hexane,mdot_heptane,mdot_octane,mdot_decane,mdot_benzene,mdot_toluene,mdot,Tsurf,Tsurf_max,flux,delta
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.000E+01, 2.000E+01, 9.000E+00, 5.300E-02
 1.000E+01,-8.197E-05,-3.180E-06,-1.463E-06,-9.445E-08,-1.468E-05,-4.538E-06, 1.059E-04, 2.631E+01, 2.732E+01, 4.682E+00, 5.300E-02
 2.001E+01,-1.170E-04,-4.670E-06,-2.183E-06,-1.439E-07,-2.127E-05,-6.657E-06, 1.519E-04, 2.890E+01, 3.394E+01, 9.483E-01, 5.300E-02
 3.001E+01,-1.207E-04,-4.975E-06,-2.364E-06,-1.587E-07,-2.241E-05,-7.107E-06, 1.578E-04, 3.000E+01, 3.986E+01, 9.826E-01, 5.299E-02
 4.001E+01,-1.266E-04,-5.404E-06,-2.615E-06,-1.793E-07,-2.405E-05,-7.741E-06, 1.666E-04, 3.119E+01, 4.546E+01, 1.028E+00, 5.299E-02
 5.001E+01,-1.322E-04,-5.871E-06,-2.901E-06,-2.039E-07,-2.579E-05,-8.441E-06, 1.754E-04, 3.244E+01, 5.237E+01, 1.070E+00, 5.299E-02
 6.001E+01,-1.400E-04,-6.507E-06,-3.294E-06,-2.383E-07,-2.818E-05,-9.406E-06, 1.876E-04, 3.373E+01, 6.083E+01, 1.136E+00, 5.298E-02
 7.000E+01,-2.798E-04,-7.592E-06,-3.954E-06,-2.968E-07,-3.234E-05,-1.104E-05, 3.350E-04, 3.525E+01, 7.018E+01, 1.649E+00, 5.297E-02
 8.000E+01,-2.402E-03,-1.965E-05,-5.863E-06,-4.721E-07,-1.449E-04,-1.563E-05, 2.588E-03, 3.981E+01, 7.536E+01, 5.891E+00, 5.272E-02
 9.000E+01,-9.735E-03,-1.420E-04,-1.081E-05,-7.585E-07,-7.906E-04,-1.825E-04, 1.086E-02, 4.967E+01, 8.217E+01, 1.348E+01, 5.170E-02
 1.000E+02,-2.365E-02,-5.930E-04,-2.238E-04,-9.303E-07,-3.232E-03,-1.109E-03, 2.881E-02, 6.281E+01, 8.694E+01, 2.359E+01, 5.087E-02
 1.100E+02,-3.614E-02,-1.557E-03,-1.095E-03,-1.323E-04,-7.721E-03,-3.523E-03, 5.017E-02, 7.545E+01, 2.129E+02, 3.221E+01, 5.025E-02
 1.200E+02,-2.736E-02,-2.865E-03,-3.117E-03,-7.044E-04,-1.219E-02,-7.387E-03, 5.362E-02, 9.544E+01, 3.095E+02, 3.544E+01, 4.974E-02
 1.300E+02,-1.054E-02,-3.416E-03,-4.475E-03,-1.797E-03,-1.138E-02,-9.099E-03, 4.070E-02, 1.747E+02, 4.050E+02, 4.662E+01, 4.974E-02
 1.400E+02,-2.188E-03,-1.678E-03,-2.268E-03,-1.039E-03,-4.989E-03,-4.408E-03, 1.657E-02, 3.246E+02, 5.957E+02, 4.716E+01, 4.974E-02
 1.500E+02,-2.282E-04,-8.224E-04,-1.145E-03,-5.049E-04,-1.671E-03,-2.140E-03, 6.511E-03, 3.518E+02, 5.381E+02, 2.479E+01, 4.974E-02
 1.600E+02,-5.277E-05,-3.016E-04,-6.816E-04,-2.743E-04,-5.643E-04,-1.159E-03, 3.033E-03, 3.093E+02, 4.975E+02, 9.318E+00, 4.974E-02
 1.700E+02,-6.368E-05,-1.495E-04,-3.407E-04,-2.826E-04,-3.559E-04,-5.776E-04, 1.770E-03, 2.615E+02, 4.855E+02, 2.746E+00, 4.974E-02
 1.800E+02,-5.750E-15,-1.001E-04,-1.762E-04,-1.218E-04,-2.316E-04,-3.375E-04, 9.672E-04, 2.205E+02, 4.077E+02,-1.084E+00, 4.974E-02
 1.900E+02,-2.184E-21,-5.069E-05,-1.002E-04,-4.826E-05,-7.668E-05,-1.781E-04, 4.539E-04, 1.902E+02, 2.869E+02,-2.066E+00, 4.974E-02
 2.000E+02,-6.914E-22,-1.785E-05,-3.804E-05,-3.169E-05,-1.031E-05,-5.919E-05, 1.571E-04, 1.693E+02, 2.356E+02,-2.204E+00, 4.974E-02
 2.100E+02,-1.288E-22,-7.970E-09,-1.099E-05,-7.580E-06,-1.308E-16,-1.425E-05, 3.283E-05, 1.538E+02, 2.063E+02,-2.121E+00, 4.974E-02
 2.200E+02,-1.623E-23,-1.320E-23,-3.547E-22,-2.881E-06,-1.484E-23,-6.095E-22, 2.881E-06, 1.417E+02, 1.860E+02,-1.909E+00, 4.974E-02
 2.300E+02,-4.640E-24,-9.053E-24, 0.000E+00,-1.734E-06,-8.316E-24, 0.000E+00, 1.734E-06, 1.323E+02, 1.707E+02,-1.690E+00, 4.974E-02
 2.400E+02,-5.285E-24,-1.576E-24, 0.000E+00,-1.236E-06,-7.642E-24, 0.000E+00, 1.236E-06, 1.246E+02, 1.586E+02,-1.516E+00, 4.974E-02
 2.500E+02,-6.682E-24, 0.000E+00, 0.000E+00,-9.576E-07,-5.040E-24, 0.000E+00, 9.576E-07, 1.181E+02, 1.490E+02,-1.377E+00, 4.974E-02
