s,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/m2/s,C,C,kW/m2,m
Time,mdot_hexane,mdot_heptane,mdot_octane,mdot_decane,mdot_benzene,mdot_toluene,mdot,Tsurf,Tsurf_max,flux,delta
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.000E+01, 2.000E+01, 9.000E+00, 5.100E-02
 1.001E+01,-6.371E-05,-2.463E-06,-1.131E-06,-7.276E-08,-1.139E-05,-3.518E-06, 8.229E-05, 2.627E+01, 2.725E+01, 4.493E+00, 5.100E-02
 2.000E+01,-8.016E-05,-3.166E-06,-1.471E-06,-9.616E-08,-1.449E-05,-4.515E-06, 1.039E-04, 2.830E+01, 3.175E+01, 5.840E-01, 5.100E-02
 3.001E+01,-8.164E-05,-3.277E-06,-1.533E-06,-1.006E-07,-1.496E-05,-4.691E-06, 1.062E-04, 2.828E+01, 3.413E+01, 5.982E-01, 5.100E-02
 4.001E+01,-7.954E-05,-3.245E-06,-1.527E-06,-1.007E-07,-1.478E-05,-4.665E-06, 1.039E-04, 2.813E+01, 3.593E+01, 5.884E-01, 5.099E-02
 5.001E+01,-7.948E-05,-3.297E-06,-1.561E-06,-1.033E-07,-1.498E-05,-4.761E-06, 1.042E-04, 2.797E+01, 3.746E+01, 5.870E-01, 5.099E-02
 6.000E+01,-7.731E-05,-3.263E-06,-1.555E-06,-1.033E-07,-1.478E-05,-4.734E-06, 1.018E-04, 2.786E+01, 3.861E+01, 5.723E-01, 5.099E-02
 7.001E+01,-7.657E-05,-3.289E-06,-1.578E-06,-1.053E-07,-1.486E-05,-4.793E-06, 1.012E-04, 2.779E+01, 3.982E+01, 5.705E-01, 5.099E-02
 8.001E+01,-7.576E-05,-3.311E-06,-1.599E-06,-1.072E-07,-1.492E-05,-4.849E-06, 1.005E-04, 2.775E+01, 4.057E+01, 5.660E-01, 5.098E-02
 9.001E+01,-7.597E-05,-3.384E-06,-1.647E-06,-1.110E-07,-1.520E-05,-4.980E-06, 1.013E-04, 2.775E+01, 4.150E+01, 5.692E-01, 5.098E-02
 1.000E+02,-7.455E-05,-3.388E-06,-1.663E-06,-1.127E-07,-1.517E-05,-5.011E-06, 9.989E-05, 2.777E+01, 4.236E+01, 5.624E-01, 5.098E-02
 1.100E+02,-7.480E-05,-3.462E-06,-1.711E-06,-1.166E-07,-1.545E-05,-5.144E-06, 1.007E-04, 2.782E+01, 4.313E+01, 5.649E-01, 5.098E-02
 1.200E+02,-7.402E-05,-3.461E-06,-1.718E-06,-1.175E-07,-1.541E-05,-5.153E-06, 9.988E-05, 2.789E+01, 4.435E+01, 5.608E-01, 5.097E-02
