s,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/m2/s,C,C,kW/m2,m
Time,mdot_iso-octane,mdot_nonane,mdot_iso-nonane,mdot_decane,mdot_iso-decane,mdot_undecane,mdot_decalin,mdot,Tsurf,Tsurf_max,flux,delta
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.000E+01, 2.000E+01, 3.600E+01, 7.000E-02
 1.001E+01,-4.805E-06,-4.216E-06,-1.866E-06,-1.672E-06,-1.640E-06,-5.231E-07,-2.342E-06, 1.706E-05, 4.988E+01, 5.037E+01, 3.591E+01, 7.000E-02
 2.000E+01,-5.772E-02,-1.913E-04,-4.257E-03,-1.185E-05,-1.085E-05,-4.194E-06,-1.279E-05, 6.220E-02, 1.149E+02, 1.198E+02, 5.765E+01, 6.968E-02
 3.000E+01,-2.122E-03,-8.208E-02,-9.986E-02,-3.082E-05,-4.685E-05,-1.181E-05,-3.029E-05, 1.842E-01, 1.597E+02, 1.652E+02, 4.017E+01, 6.779E-02
 4.000E+01,-8.104E-05,-5.277E-02,-9.172E-03,-8.195E-04,-4.691E-03,-4.249E-06,-1.071E-05, 6.754E-02, 1.697E+02, 1.734E+02, 3.440E+01, 6.584E-02
 5.000E+01,-8.670E-05,-2.830E-02,-8.451E-03,-1.467E-02,-4.810E-02,-1.953E-06,-4.905E-06, 9.961E-02, 1.760E+02, 1.800E+02, 3.423E+01, 6.470E-02
 6.000E+01,-9.083E-05,-1.881E-02,-7.185E-03,-5.986E-02,-3.192E-02,-1.477E-06,-3.678E-06, 1.179E-01, 1.767E+02, 1.855E+02, 3.673E+01, 6.267E-02
 7.000E+01,-1.033E-04,-1.609E-02,-6.712E-03,-3.926E-02,-1.540E-02,-3.424E-04,-1.515E-03, 7.941E-02, 1.864E+02, 1.955E+02, 3.394E+01, 6.149E-02
 8.000E+01,-1.155E-04,-1.630E-02,-7.106E-03,-2.631E-02,-1.371E-02,-7.858E-04,-6.309E-03, 7.064E-02, 1.917E+02, 1.960E+02, 3.294E+01, 6.054E-02
 9.000E+01,-1.353E-04,-1.455E-02,-6.672E-03,-1.998E-02,-1.146E-02,-1.034E-03,-9.133E-03, 6.297E-02, 1.943E+02, 1.961E+02, 3.324E+01, 5.944E-02
 1.000E+02,-1.506E-04,-1.400E-02,-6.729E-03,-1.729E-02,-1.060E-02,-1.253E-03,-1.258E-02, 6.261E-02, 1.952E+02, 1.962E+02, 3.329E+01, 5.859E-02
 1.100E+02,-1.522E-04,-1.366E-02,-7.082E-03,-1.590E-02,-9.905E-03,-1.376E-03,-1.637E-02, 6.444E-02, 1.955E+02, 1.964E+02, 3.277E+01, 5.762E-02
 1.200E+02,-1.605E-04,-1.183E-02,-6.731E-03,-1.276E-02,-8.100E-03,-1.806E-03,-1.662E-02, 5.801E-02, 1.956E+02, 1.963E+02, 3.215E+01, 5.671E-02
 1.300E+02,-1.349E-04,-8.388E-03,-4.877E-03,-8.815E-03,-5.623E-03,-3.303E-03,-1.933E-02, 5.047E-02, 1.955E+02, 1.964E+02, 3.557E+01, 5.609E-02
 1.400E+02,-1.159E-04,-6.834E-03,-4.325E-03,-6.850E-03,-4.387E-03,-4.348E-03,-2.286E-02, 4.972E-02, 1.954E+02, 1.966E+02, 3.789E+01, 5.552E-02
 1.500E+02,-6.438E-05,-3.464E-03,-2.190E-03,-3.471E-03,-2.208E-03,-6.563E-03,-2.739E-02, 4.535E-02, 1.954E+02, 1.974E+02, 4.352E+01, 5.506E-02
 1.600E+02,-3.900E-05,-1.948E-03,-1.255E-03,-1.926E-03,-1.220E-03,-7.511E-03,-3.317E-02, 4.707E-02, 1.955E+02, 1.979E+02, 4.603E+01, 5.460E-02
 1.700E+02,-2.447E-05,-1.158E-03,-7.666E-04,-1.130E-03,-7.124E-04,-7.163E-03,-4.033E-02, 5.128E-02, 1.956E+02, 1.979E+02, 4.453E+01, 5.408E-02
 1.800E+02,-1.043E-05,-5.088E-04,-3.541E-04,-4.973E-04,-3.053E-04,-7.645E-03,-4.323E-02, 5.255E-02, 1.956E+02, 1.979E+02, 4.279E+01, 5.344E-02
 1.900E+02,-4.908E-06,-2.279E-04,-1.535E-04,-2.216E-04,-1.372E-04,-8.859E-03,-4.193E-02, 5.154E-02, 1.957E+02, 1.987E+02, 4.308E+01, 5.280E-02
