s,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/m2/s,C,C,kW/m2,m
Time,mdot_hexane,mdot_heptane,mdot_octane,mdot_decane,mdot_benzene,mdot_toluene,mdot,Tsurf,Tsurf_max,flux,delta
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.000E+01, 2.000E+01, 9.000E+00, 6.500E-02
 1.001E+01,-8.176E-05,-3.177E-06,-1.463E-06,-9.442E-08,-1.466E-05,-4.537E-06, 1.057E-04, 2.628E+01, 2.727E+01, 4.697E+00, 6.500E-02
 2.000E+01,-1.167E-04,-4.691E-06,-2.198E-06,-1.450E-07,-2.136E-05,-6.702E-06, 1.518E-04, 2.882E+01, 3.435E+01, 9.637E-01, 6.500E-02
 3.001E+01,-1.200E-04,-5.011E-06,-2.392E-06,-1.609E-07,-2.254E-05,-7.187E-06, 1.573E-04, 2.987E+01, 3.977E+01, 9.941E-01, 6.499E-02
 4.000E+01,-1.244E-04,-5.420E-06,-2.641E-06,-1.816E-07,-2.407E-05,-7.813E-06, 1.645E-04, 3.098E+01, 4.530E+01, 1.028E+00, 6.499E-02
 5.001E+01,-1.283E-04,-5.856E-06,-2.920E-06,-2.058E-07,-2.567E-05,-8.499E-06, 1.714E-04, 3.212E+01, 5.075E+01, 1.063E+00, 6.499E-02
 6.000E+01,-1.343E-04,-6.450E-06,-3.300E-06,-2.392E-07,-2.787E-05,-9.434E-06, 1.816E-04, 3.329E+01, 5.749E+01, 1.118E+00, 6.498E-02
 7.000E+01,-1.440E-04,-7.178E-06,-3.755E-06,-2.801E-07,-3.062E-05,-1.054E-05, 1.964E-04, 3.453E+01, 6.572E+01, 1.197E+00, 6.497E-02
 8.000E+01,-6.562E-04,-8.866E-06,-4.818E-06,-3.788E-07,-3.705E-05,-1.311E-05, 7.204E-04, 3.651E+01, 7.195E+01, 2.858E+00, 6.496E-02
 9.000E+01,-3.681E-03,-1.343E-05,-7.724E-06,-6.583E-07,-6.407E-05,-1.992E-05, 3.787E-03, 4.272E+01, 8.189E+01, 8.262E+00, 6.454E-02
 1.000E+02,-1.253E-02,-1.805E-05,-1.084E-05,-9.830E-07,-3.265E-04,-2.675E-05, 1.291E-02, 5.317E+01, 8.412E+01, 1.618E+01, 6.351E-02
 1.100E+02,-3.743E-02,-1.765E-05,-1.075E-05,-1.005E-06,-8.984E-04,-2.580E-05, 3.838E-02, 6.573E+01, 8.736E+01, 2.693E+01, 6.138E-02
 1.200E+02,-7.992E-02,-4.566E-06,-2.769E-06,-2.610E-07,-3.834E-03,-6.580E-06, 8.377E-02, 7.399E+01, 9.054E+01, 3.415E+01, 5.904E-02
 1.300E+02,-9.217E-02,-7.878E-05,-3.110E-08,-2.916E-09,-9.717E-03,-7.327E-08, 1.020E-01, 7.841E+01, 1.000E+02, 3.689E+01, 5.770E-02
 1.400E+02,-1.172E-01,-9.239E-04,-1.645E-10,-1.519E-11,-1.767E-02,-9.903E-07, 1.358E-01, 8.383E+01, 1.093E+02, 3.658E+01, 5.664E-02
 1.500E+02,-6.743E-02,-3.268E-03,-3.403E-08,-3.354E-09,-3.106E-02,-9.865E-05, 1.019E-01, 9.020E+01, 1.109E+02, 3.628E+01, 5.548E-02
 1.600E+02,-3.937E-02,-7.898E-03,-9.551E-08,-9.423E-09,-3.320E-02,-6.358E-04, 8.111E-02, 9.636E+01, 1.111E+02, 3.382E+01, 5.449E-02
