s,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/m2/s,C,C,kW/m2,m
Time,mdot_hexane,mdot_heptane,mdot_octane,mdot_decane,mdot_benzene,mdot_toluene,mdot,Tsurf,Tsurf_max,flux,delta
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.000E+01, 2.000E+01, 9.000E+00, 5.500E-02
 1.000E+01,-8.194E-05,-3.177E-06,-1.461E-06,-9.430E-08,-1.467E-05,-4.533E-06, 1.059E-04, 2.630E+01, 2.731E+01, 4.694E+00, 5.500E-02
 2.001E+01,-1.169E-04,-4.658E-06,-2.176E-06,-1.432E-07,-2.123E-05,-6.638E-06, 1.518E-04, 2.886E+01, 3.407E+01, 9.570E-01, 5.500E-02
 3.001E+01,-1.222E-04,-5.014E-06,-2.379E-06,-1.596E-07,-2.260E-05,-7.155E-06, 1.595E-04, 2.995E+01, 4.068E+01, 1.001E+00, 5.499E-02
 4.001E+01,-1.277E-04,-5.419E-06,-2.616E-06,-1.791E-07,-2.414E-05,-7.751E-06, 1.678E-04, 3.109E+01, 4.723E+01, 1.045E+00, 5.499E-02
 5.000E+01,-1.343E-04,-5.910E-06,-2.910E-06,-2.041E-07,-2.600E-05,-8.480E-06, 1.778E-04, 3.228E+01, 5.403E+01, 1.094E+00, 5.499E-02
 6.001E+01,-1.411E-04,-6.482E-06,-3.265E-06,-2.353E-07,-2.814E-05,-9.345E-06, 1.886E-04, 3.352E+01, 6.100E+01, 1.152E+00, 5.498E-02
 7.000E+01,-1.881E-04,-7.280E-06,-3.766E-06,-2.808E-07,-3.112E-05,-1.055E-05, 2.411E-04, 3.486E+01, 6.933E+01, 1.369E+00, 5.497E-02
 8.000E+01,-1.582E-03,-1.013E-05,-5.466E-06,-4.346E-07,-4.266E-05,-1.469E-05, 1.655E-03, 3.825E+01, 7.482E+01, 4.713E+00, 5.489E-02
 9.000E+01,-7.893E-03,-1.458E-05,-8.103E-06,-6.918E-07,-1.730E-04,-2.069E-05, 8.110E-03, 4.667E+01, 8.187E+01, 1.149E+01, 5.385E-02
