s,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/m2/s,C,C,kW/m2,m
Time,mdot_hexane,mdot_heptane,mdot_octane,mdot_decane,mdot_benzene,mdot_toluene,mdot,Tsurf,Tsurf_max,flux,delta
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.000E+01, 2.000E+01, 9.000E+00, 7.000E-02
 1.001E+01,-5.017E-05,-1.932E-06,-8.846E-07,-5.667E-08,-8.961E-06,-2.762E-06, 6.477E-05, 2.612E+01, 2.662E+01, 4.361E+00, 7.000E-02
 2.000E+01,-5.961E-05,-2.332E-06,-1.078E-06,-6.988E-08,-1.073E-05,-3.328E-06, 7.715E-05, 2.773E+01, 2.911E+01, 3.630E-01, 7.000E-02
 3.002E+01,-5.674E-05,-2.243E-06,-1.041E-06,-6.773E-08,-1.030E-05,-3.209E-06, 7.360E-05, 2.784E+01, 3.024E+01, 3.487E-01, 7.000E-02
 4.000E+01,-5.672E-05,-2.268E-06,-1.057E-06,-6.908E-08,-1.038E-05,-3.250E-06, 7.374E-05, 2.803E+01, 3.103E+01, 3.457E-01, 7.000E-02
 5.002E+01,-5.810E-05,-2.350E-06,-1.101E-06,-7.231E-08,-1.072E-05,-3.374E-06, 7.572E-05, 2.825E+01, 3.184E+01, 3.536E-01, 7.000E-02
 6.001E+01,-5.964E-05,-2.443E-06,-1.151E-06,-7.592E-08,-1.111E-05,-3.513E-06, 7.793E-05, 2.851E+01, 3.268E+01, 3.621E-01, 6.999E-02
 7.003E+01,-5.893E-05,-2.445E-06,-1.159E-06,-7.687E-08,-1.108E-05,-3.523E-06, 7.722E-05, 2.877E+01, 3.374E+01, 3.617E-01, 6.999E-02
 8.002E+01,-5.942E-05,-2.498E-06,-1.190E-06,-7.939E-08,-1.128E-05,-3.607E-06, 7.808E-05, 2.904E+01, 3.462E+01, 3.608E-01, 6.999E-02
 9.001E+01,-5.979E-05,-2.546E-06,-1.221E-06,-8.186E-08,-1.147E-05,-3.685E-06, 7.879E-05, 2.929E+01, 3.553E+01, 3.616E-01, 6.999E-02
 1.000E+02,-5.746E-05,-2.480E-06,-1.196E-06,-8.062E-08,-1.113E-05,-3.596E-06, 7.594E-05, 2.956E+01, 3.629E+01, 3.481E-01, 6.999E-02
 1.100E+02,-6.025E-05,-2.635E-06,-1.279E-06,-8.665E-08,-1.179E-05,-3.831E-06, 7.987E-05, 2.984E+01, 3.710E+01, 3.630E-01, 6.999E-02
 1.200E+02,-6.031E-05,-2.677E-06,-1.307E-06,-8.909E-08,-1.193E-05,-3.901E-06, 8.021E-05, 3.011E+01, 3.775E+01, 3.656E-01, 6.999E-02
 1.300E+02,-6.236E-05,-2.809E-06,-1.381E-06,-9.466E-08,-1.248E-05,-4.106E-06, 8.323E-05, 3.037E+01, 3.845E+01, 3.768E-01, 6.998E-02
 1.400E+02,-5.940E-05,-2.720E-06,-1.347E-06,-9.303E-08,-1.203E-05,-3.986E-06, 7.957E-05, 3.066E+01, 3.938E+01, 3.619E-01, 6.998E-02
 1.500E+02,-6.246E-05,-2.901E-06,-1.445E-06,-1.003E-07,-1.279E-05,-4.264E-06, 8.396E-05, 3.091E+01, 4.007E+01, 3.779E-01, 6.998E-02
 1.600E+02,-6.398E-05,-3.009E-06,-1.508E-06,-1.052E-07,-1.323E-05,-4.433E-06, 8.626E-05, 3.119E+01, 4.104E+01, 3.861E-01, 6.998E-02
 1.700E+02,-6.503E-05,-3.098E-06,-1.562E-06,-1.096E-07,-1.357E-05,-4.574E-06, 8.794E-05, 3.147E+01, 4.176E+01, 3.934E-01, 6.998E-02
 1.800E+02,-6.498E-05,-3.123E-06,-1.581E-06,-1.115E-07,-1.365E-05,-4.617E-06, 8.806E-05, 3.173E+01, 4.248E+01, 3.898E-01, 6.998E-02
 1.900E+02,-6.480E-05,-3.162E-06,-1.613E-06,-1.145E-07,-1.377E-05,-4.689E-06, 8.815E-05, 3.199E+01, 4.323E+01, 3.884E-01, 6.998E-02
 2.000E+02,-6.627E-05,-3.253E-06,-1.666E-06,-1.188E-07,-1.414E-05,-4.829E-06, 9.027E-05, 3.225E+01, 4.396E+01, 3.977E-01, 6.998E-02
 2.100E+02,-6.715E-05,-3.339E-06,-1.720E-06,-1.234E-07,-1.446E-05,-4.969E-06, 9.176E-05, 3.253E+01, 4.487E+01, 4.017E-01, 6.997E-02
 2.200E+02,-6.722E-05,-3.397E-06,-1.764E-06,-1.275E-07,-1.466E-05,-5.071E-06, 9.224E-05, 3.282E+01, 4.582E+01, 4.031E-01, 6.997E-02
 2.300E+02,-6.856E-05,-3.511E-06,-1.834E-06,-1.333E-07,-1.510E-05,-5.254E-06, 9.439E-05, 3.313E+01, 4.663E+01, 4.135E-01, 6.997E-02
 2.400E+02,-6.797E-05,-3.513E-06,-1.845E-06,-1.349E-07,-1.507E-05,-5.267E-06, 9.380E-05, 3.340E+01, 4.751E+01, 4.082E-01, 6.997E-02
 2.500E+02,-6.995E-05,-3.681E-06,-1.952E-06,-1.441E-07,-1.572E-05,-5.540E-06, 9.699E-05, 3.367E+01, 4.832E+01, 4.195E-01, 6.997E-02
 2.600E+02,-6.893E-05,-3.688E-06,-1.971E-06,-1.466E-07,-1.570E-05,-5.573E-06, 9.600E-05, 3.396E+01, 4.927E+01, 4.154E-01, 6.997E-02
 2.700E+02,-6.765E-05,-3.654E-06,-1.963E-06,-1.467E-07,-1.551E-05,-5.531E-06, 9.446E-05, 3.424E+01, 4.999E+01, 4.068E-01, 6.997E-02
 2.800E+02,-6.857E-05,-3.769E-06,-2.041E-06,-1.538E-07,-1.594E-05,-5.727E-06, 9.619E-05, 3.452E+01, 5.049E+01, 4.147E-01, 6.996E-02
 2.900E+02,-7.129E-05,-3.977E-06,-2.169E-06,-1.644E-07,-1.677E-05,-6.066E-06, 1.004E-04, 3.479E+01, 5.098E+01, 4.267E-01, 6.996E-02
 3.000E+02,-7.268E-05,-4.071E-06,-2.230E-06,-1.700E-07,-1.713E-05,-6.215E-06, 1.025E-04, 3.507E+01, 5.208E+01, 4.356E-01, 6.996E-02
 3.100E+02,-7.246E-05,-4.107E-06,-2.264E-06,-1.737E-07,-1.723E-05,-6.289E-06, 1.025E-04, 3.532E+01, 5.289E+01, 4.322E-01, 6.996E-02
 3.200E+02,-7.258E-05,-4.171E-06,-2.318E-06,-1.793E-07,-1.744E-05,-6.410E-06, 1.031E-04, 3.560E+01, 5.398E+01, 4.353E-01, 6.996E-02
 3.300E+02,-7.268E-05,-4.263E-06,-2.393E-06,-1.869E-07,-1.775E-05,-6.585E-06, 1.039E-04, 3.589E+01, 5.503E+01, 4.397E-01, 6.996E-02
 3.400E+02,-7.401E-05,-4.415E-06,-2.501E-06,-1.971E-07,-1.833E-05,-6.852E-06, 1.063E-04, 3.616E+01, 5.608E+01, 4.438E-01, 6.995E-02
 3.500E+02,-7.479E-05,-4.457E-06,-2.529E-06,-1.998E-07,-1.848E-05,-6.914E-06, 1.074E-04, 3.643E+01, 5.684E+01, 4.476E-01, 6.995E-02
 3.600E+02,-7.688E-05,-4.632E-06,-2.648E-06,-2.112E-07,-1.914E-05,-7.206E-06, 1.107E-04, 3.671E+01, 5.738E+01, 4.607E-01, 6.995E-02
