s,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/m2/s,C,C,kW/m2,m
Time,mdot_iso-octane,mdot_nonane,mdot_iso-nonane,mdot_decane,mdot_iso-decane,mdot_undecane,mdot_decalin,mdot,Tsurf,Tsurf_max,flux,delta
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.000E+01, 2.000E+01, 3.600E+01, 5.500E-02
 1.001E+01,-4.809E-06,-4.220E-06,-1.868E-06,-1.673E-06,-1.641E-06,-5.237E-07,-2.345E-06, 1.708E-05, 4.990E+01, 5.039E+01, 3.590E+01, 5.500E-02
 2.000E+01,-1.530E-02,-1.093E-03,-4.649E-03,-3.403E-05,-3.038E-05,-1.258E-05,-3.483E-05, 2.115E-02, 1.160E+02, 1.216E+02, 5.910E+01, 5.489E-02
 3.000E+01,-4.840E-19,-6.429E-02,-4.095E-02,-3.492E-05,-5.127E-04,-1.351E-05,-3.464E-05, 1.058E-01, 1.609E+02, 1.683E+02, 4.087E+01, 5.374E-02
 4.000E+01,-2.712E-19,-7.440E-03,-4.122E-04,-1.418E-02,-2.461E-02,-1.853E-04,-4.717E-04, 4.730E-02, 1.728E+02, 1.848E+02, 4.127E+01, 5.280E-02
 5.000E+01,-2.010E-19,-1.927E-19,-2.197E-19,-2.243E-02,-1.178E-02,-8.684E-04,-3.042E-03, 3.812E-02, 1.795E+02, 1.938E+02, 4.245E+01, 5.178E-02
 6.000E+01,-9.676E-20,-1.078E-19,-1.057E-19,-5.693E-03,-1.325E-03,-1.983E-03,-1.557E-02, 2.457E-02, 1.841E+02, 1.977E+02, 3.877E+01, 5.145E-02
 7.000E+01,-1.739E-19,-1.551E-19,-1.673E-19,-6.134E-03,-1.172E-03,-3.630E-03,-2.227E-02, 3.321E-02, 1.880E+02, 1.980E+02, 4.435E+01, 5.091E-02
 8.000E+01,-1.248E-19,-1.335E-19,-1.318E-19,-4.181E-03,-1.333E-03,-8.504E-03,-2.197E-02, 3.599E-02, 1.937E+02, 2.215E+02, 4.797E+01, 5.032E-02
 9.000E+01,-7.010E-20,-7.396E-20,-6.947E-20,-2.596E-03,-9.404E-04,-5.009E-03,-1.232E-02, 2.086E-02, 2.174E+02, 2.983E+02, 4.871E+01, 4.919E-02
 1.000E+02,-1.679E-20,-1.837E-20,-1.872E-20,-9.449E-06,-1.820E-04,-1.657E-03,-3.423E-03, 5.272E-03, 2.209E+02, 3.043E+02, 2.324E+01, 4.919E-02
 1.100E+02,-7.439E-21,-7.801E-21,-7.610E-21,-3.130E-06,-2.427E-07,-8.888E-04,-1.614E-03, 2.506E-03, 2.021E+02, 2.780E+02, 1.165E+01, 4.919E-02
 1.200E+02,-3.169E-21,-3.168E-21,-3.722E-21,-2.643E-06,-2.221E-07,-4.538E-04,-8.829E-04, 1.340E-03, 1.834E+02, 2.464E+02, 5.915E+00, 4.919E-02
