s,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/m2/s,C,C,kW/m2,m
Time,mdot_hexane,mdot_heptane,mdot_octane,mdot_decane,mdot_benzene,mdot_toluene,mdot,Tsurf,Tsurf_max,flux,delta
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.000E+01, 2.000E+01, 9.000E+00, 6.000E-02
 1.002E+01,-6.339E-05,-2.449E-06,-1.123E-06,-7.220E-08,-1.133E-05,-3.498E-06, 8.187E-05, 2.618E+01, 2.716E+01, 4.501E+00, 6.000E-02
 2.000E+01,-7.944E-05,-3.131E-06,-1.453E-06,-9.477E-08,-1.435E-05,-4.466E-06, 1.029E-04, 2.812E+01, 3.150E+01, 5.831E-01, 6.000E-02
 3.001E+01,-8.393E-05,-3.369E-06,-1.577E-06,-1.038E-07,-1.535E-05,-4.814E-06, 1.091E-04, 2.863E+01, 3.425E+01, 6.150E-01, 6.000E-02
 4.000E+01,-8.595E-05,-3.521E-06,-1.665E-06,-1.108E-07,-1.594E-05,-5.040E-06, 1.122E-04, 2.923E+01, 3.736E+01, 6.299E-01, 5.999E-02
 5.000E+01,-8.846E-05,-3.702E-06,-1.769E-06,-1.191E-07,-1.664E-05,-5.311E-06, 1.160E-04, 2.983E+01, 4.041E+01, 6.467E-01, 5.999E-02
 6.001E+01,-8.956E-05,-3.835E-06,-1.854E-06,-1.264E-07,-1.712E-05,-5.517E-06, 1.180E-04, 3.046E+01, 4.402E+01, 6.522E-01, 5.999E-02
 7.001E+01,-9.372E-05,-4.114E-06,-2.013E-06,-1.391E-07,-1.823E-05,-5.936E-06, 1.241E-04, 3.110E+01, 4.712E+01, 6.815E-01, 5.998E-02
 8.000E+01,-9.571E-05,-4.320E-06,-2.144E-06,-1.505E-07,-1.898E-05,-6.256E-06, 1.276E-04, 3.177E+01, 5.025E+01, 6.963E-01, 5.998E-02
 9.001E+01,-9.954E-05,-4.624E-06,-2.328E-06,-1.661E-07,-2.016E-05,-6.727E-06, 1.335E-04, 3.244E+01, 5.371E+01, 7.238E-01, 5.998E-02
 1.000E+02,-1.025E-04,-4.894E-06,-2.500E-06,-1.813E-07,-2.117E-05,-7.147E-06, 1.384E-04, 3.313E+01, 5.724E+01, 7.441E-01, 5.997E-02
 1.100E+02,-1.050E-04,-5.120E-06,-2.648E-06,-1.952E-07,-2.198E-05,-7.495E-06, 1.425E-04, 3.383E+01, 6.155E+01, 7.559E-01, 5.997E-02
 1.200E+02,-1.093E-04,-5.468E-06,-2.872E-06,-2.159E-07,-2.329E-05,-8.035E-06, 1.492E-04, 3.452E+01, 6.519E+01, 7.868E-01, 5.997E-02
 1.300E+02,-1.339E-04,-5.924E-06,-3.174E-06,-2.446E-07,-2.500E-05,-8.756E-06, 1.770E-04, 3.528E+01, 6.949E+01, 9.032E-01, 5.996E-02
 1.400E+02,-9.560E-04,-7.679E-06,-4.256E-06,-3.454E-07,-3.193E-05,-1.137E-05, 1.012E-03, 3.760E+01, 7.544E+01, 3.399E+00, 5.996E-02
 1.500E+02,-3.134E-03,-1.120E-05,-6.467E-06,-5.597E-07,-8.910E-05,-1.650E-05, 3.258E-03, 4.366E+01, 8.370E+01, 7.358E+00, 5.995E-02
 1.600E+02,-1.362E-02,-1.522E-05,-9.038E-06,-8.177E-07,-2.556E-04,-2.222E-05, 1.392E-02, 5.393E+01, 8.422E+01, 1.524E+01, 5.969E-02
 1.700E+02,-4.506E-02,-1.257E-05,-7.485E-06,-6.966E-07,-4.469E-04,-1.785E-05, 4.554E-02, 6.834E+01, 8.832E+01, 2.999E+01, 5.811E-02
 1.800E+02,-8.490E-02,-4.685E-07,-2.770E-07,-2.604E-08,-2.555E-03,-6.530E-07, 8.746E-02, 7.316E+01, 9.338E+01, 3.351E+01, 5.592E-02
 1.900E+02,-1.033E-01,-5.495E-05,-1.031E-09,-9.568E-11,-6.744E-03,-2.432E-09, 1.101E-01, 7.749E+01, 1.000E+02, 3.491E+01, 5.494E-02
 2.000E+02,-6.388E-02,-8.520E-04,-2.287E-08,-2.224E-09,-1.438E-02,-5.749E-07, 7.911E-02, 8.260E+01, 1.086E+02, 3.256E+01, 5.402E-02
 2.100E+02,-2.935E-02,-1.737E-03,-9.066E-08,-8.814E-09,-2.718E-02,-8.092E-05, 5.836E-02, 8.801E+01, 1.111E+02, 2.945E+01, 5.318E-02
 2.200E+02,-1.544E-02,-3.891E-03,-1.399E-06,-1.421E-07,-3.085E-02,-4.411E-04, 5.062E-02, 9.384E+01, 1.114E+02, 2.863E+01, 5.257E-02
 2.300E+02,-7.890E-03,-9.002E-03,-8.754E-06,-9.327E-07,-2.842E-02,-1.801E-03, 4.712E-02, 9.887E+01, 1.129E+02, 2.999E+01, 5.206E-02
 2.400E+02,-4.411E-03,-9.366E-03,-1.822E-04,-2.180E-05,-1.812E-02,-9.049E-03, 4.115E-02, 1.070E+02, 1.210E+02, 3.800E+01, 5.188E-02
