s,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/m2/s,C,C,kW/m2,m
Time,mdot_hexane,mdot_heptane,mdot_octane,mdot_decane,mdot_benzene,mdot_toluene,mdot,Tsurf,Tsurf_max,flux,delta
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.000E+01, 2.000E+01, 9.000E+00, 5.500E-02
 1.000E+01,-6.339E-05,-2.448E-06,-1.123E-06,-7.218E-08,-1.133E-05,-3.497E-06, 8.186E-05, 2.618E+01, 2.716E+01, 4.505E+00, 5.500E-02
 2.001E+01,-7.913E-05,-3.117E-06,-1.446E-06,-9.434E-08,-1.429E-05,-4.446E-06, 1.025E-04, 2.812E+01, 3.147E+01, 5.785E-01, 5.500E-02
 3.001E+01,-8.363E-05,-3.355E-06,-1.570E-06,-1.034E-07,-1.529E-05,-4.793E-06, 1.087E-04, 2.863E+01, 3.436E+01, 6.131E-01, 5.500E-02
 4.001E+01,-8.651E-05,-3.540E-06,-1.673E-06,-1.114E-07,-1.603E-05,-5.067E-06, 1.129E-04, 2.924E+01, 3.724E+01, 6.325E-01, 5.499E-02
 5.001E+01,-8.712E-05,-3.641E-06,-1.739E-06,-1.171E-07,-1.637E-05,-5.222E-06, 1.142E-04, 2.983E+01, 4.003E+01, 6.350E-01, 5.499E-02
 6.001E+01,-8.897E-05,-3.805E-06,-1.839E-06,-1.254E-07,-1.698E-05,-5.470E-06, 1.172E-04, 3.046E+01, 4.318E+01, 6.484E-01, 5.499E-02
 7.000E+01,-9.023E-05,-3.953E-06,-1.933E-06,-1.336E-07,-1.752E-05,-5.700E-06, 1.195E-04, 3.108E+01, 4.632E+01, 6.570E-01, 5.498E-02
 8.001E+01,-9.359E-05,-4.205E-06,-2.082E-06,-1.459E-07,-1.850E-05,-6.084E-06, 1.246E-04, 3.170E+01, 4.921E+01, 6.793E-01, 5.498E-02
 9.001E+01,-9.680E-05,-4.470E-06,-2.245E-06,-1.597E-07,-1.951E-05,-6.495E-06, 1.297E-04, 3.237E+01, 5.308E+01, 7.023E-01, 5.498E-02
