s,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/m2/s,C,C,kW/m2,m
Time,mdot_hexane,mdot_heptane,mdot_octane,mdot_decane,mdot_benzene,mdot_toluene,mdot,Tsurf,Tsurf_max,flux,delta
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.000E+01, 2.000E+01, 9.000E+00, 7.000E-02
 1.001E+01,-6.346E-05,-2.451E-06,-1.125E-06,-7.227E-08,-1.135E-05,-3.502E-06, 8.196E-05, 2.617E+01, 2.718E+01, 4.503E+00, 7.000E-02
 2.001E+01,-7.910E-05,-3.118E-06,-1.447E-06,-9.439E-08,-1.429E-05,-4.448E-06, 1.025E-04, 2.811E+01, 3.158E+01, 5.817E-01, 7.000E-02
 3.001E+01,-8.440E-05,-3.389E-06,-1.587E-06,-1.045E-07,-1.544E-05,-4.844E-06, 1.098E-04, 2.864E+01, 3.464E+01, 6.193E-01, 6.999E-02
 4.001E+01,-8.474E-05,-3.473E-06,-1.642E-06,-1.093E-07,-1.572E-05,-4.973E-06, 1.107E-04, 2.921E+01, 3.753E+01, 6.190E-01, 6.999E-02
 5.000E+01,-8.809E-05,-3.689E-06,-1.763E-06,-1.187E-07,-1.658E-05,-5.294E-06, 1.155E-04, 2.980E+01, 4.066E+01, 6.410E-01, 6.999E-02
 6.002E+01,-9.058E-05,-3.883E-06,-1.878E-06,-1.281E-07,-1.733E-05,-5.589E-06, 1.194E-04, 3.042E+01, 4.349E+01, 6.602E-01, 6.999E-02
 7.001E+01,-9.121E-05,-4.008E-06,-1.962E-06,-1.356E-07,-1.776E-05,-5.787E-06, 1.209E-04, 3.105E+01, 4.657E+01, 6.634E-01, 6.998E-02
 8.000E+01,-9.436E-05,-4.261E-06,-2.114E-06,-1.483E-07,-1.873E-05,-6.174E-06, 1.258E-04, 3.169E+01, 5.013E+01, 6.846E-01, 6.998E-02
 9.001E+01,-9.654E-05,-4.481E-06,-2.254E-06,-1.605E-07,-1.955E-05,-6.523E-06, 1.295E-04, 3.232E+01, 5.316E+01, 7.010E-01, 6.998E-02
 1.000E+02,-1.007E-04,-4.793E-06,-2.443E-06,-1.766E-07,-2.076E-05,-7.002E-06, 1.358E-04, 3.300E+01, 5.634E+01, 7.290E-01, 6.998E-02
 1.100E+02,-1.042E-04,-5.069E-06,-2.616E-06,-1.920E-07,-2.180E-05,-7.423E-06, 1.413E-04, 3.369E+01, 5.998E+01, 7.545E-01, 6.997E-02
 1.200E+02,-1.089E-04,-5.441E-06,-2.854E-06,-2.138E-07,-2.320E-05,-7.999E-06, 1.486E-04, 3.441E+01, 6.420E+01, 7.869E-01, 6.997E-02
 1.300E+02,-1.142E-04,-5.840E-06,-3.120E-06,-2.392E-07,-2.469E-05,-8.636E-06, 1.567E-04, 3.513E+01, 6.824E+01, 8.157E-01, 6.996E-02
 1.400E+02,-4.765E-04,-6.838E-06,-3.749E-06,-2.983E-07,-2.850E-05,-1.016E-05, 5.261E-04, 3.644E+01, 7.225E+01, 2.053E+00, 6.996E-02
 1.500E+02,-1.808E-03,-9.499E-06,-5.423E-06,-4.595E-07,-5.026E-05,-1.408E-05, 1.887E-03, 4.068E+01, 8.194E+01, 5.030E+00, 6.995E-02
 1.600E+02,-5.282E-03,-1.380E-05,-8.171E-06,-7.313E-07,-1.989E-04,-2.034E-05, 5.524E-03, 4.840E+01, 8.438E+01, 1.006E+01, 6.987E-02
 1.700E+02,-2.412E-02,-1.697E-05,-1.017E-05,-9.396E-07,-6.534E-04,-2.455E-05, 2.483E-02, 6.159E+01, 8.859E+01, 2.349E+01, 6.923E-02
 1.800E+02,-6.937E-02,-5.542E-06,-3.328E-06,-3.138E-07,-2.227E-03,-7.868E-06, 7.161E-02, 7.228E+01, 8.841E+01, 3.359E+01, 6.822E-02
 1.900E+02,-1.246E-01,-4.052E-05,-7.406E-10,-6.975E-11,-4.663E-03,-1.738E-09, 1.293E-01, 7.660E+01, 9.684E+01, 3.712E+01, 6.551E-02
 2.000E+02,-1.193E-01,-4.650E-04, 0.000E+00, 0.000E+00,-1.184E-02,-1.825E-05, 1.316E-01, 8.208E+01, 1.095E+02, 3.745E+01, 6.328E-02
 2.100E+02,-7.134E-02,-1.471E-03,-5.339E-09,-5.277E-10,-2.371E-02,-1.199E-04, 9.664E-02, 8.742E+01, 1.109E+02, 3.521E+01, 6.197E-02
 2.200E+02,-4.973E-02,-4.535E-03,-7.447E-09,-7.321E-10,-3.478E-02,-3.822E-04, 8.943E-02, 9.416E+01, 1.110E+02, 3.431E+01, 6.066E-02
 2.300E+02,-3.939E-02,-9.503E-03,-4.503E-08,-4.618E-09,-3.545E-02,-1.164E-03, 8.551E-02, 9.999E+01, 1.126E+02, 3.373E+01, 5.942E-02
 2.400E+02,-3.530E-02,-1.141E-02,-7.531E-08,-8.069E-09,-2.858E-02,-3.157E-03, 7.844E-02, 1.044E+02, 1.183E+02, 3.282E+01, 5.834E-02
 2.500E+02,-3.299E-02,-1.066E-02,-4.448E-07,-4.975E-08,-2.347E-02,-7.194E-03, 7.432E-02, 1.070E+02, 1.192E+02, 3.216E+01, 5.730E-02
 2.600E+02,-3.159E-02,-8.679E-03,-4.853E-07,-5.429E-08,-2.129E-02,-1.178E-02, 7.334E-02, 1.082E+02, 1.192E+02, 3.177E+01, 5.615E-02
 2.700E+02,-2.980E-02,-7.316E-03,-9.620E-07,-1.098E-07,-1.912E-02,-2.154E-02, 7.778E-02, 1.078E+02, 1.196E+02, 3.274E+01, 5.476E-02
 2.800E+02,-2.662E-02,-6.090E-03,-1.941E-05,-1.081E-07,-1.685E-02,-2.698E-02, 7.656E-02, 1.040E+02, 1.256E+02, 3.295E+01, 5.381E-02
 2.900E+02,-2.250E-02,-4.748E-03,-1.433E-04,-4.172E-07,-1.466E-02,-2.702E-02, 6.908E-02, 1.039E+02, 1.260E+02, 3.154E+01, 5.296E-02
 3.000E+02,-1.841E-02,-3.651E-03,-5.087E-04,-1.065E-06,-1.263E-02,-2.442E-02, 5.963E-02, 1.058E+02, 1.262E+02, 3.009E+01, 5.224E-02
 3.100E+02,-1.434E-02,-2.763E-03,-1.826E-03,-4.017E-06,-1.043E-02,-2.155E-02, 5.091E-02, 1.078E+02, 1.266E+02, 2.950E+01, 5.178E-02
 3.200E+02,-1.152E-02,-2.131E-03,-5.962E-03,-7.871E-05,-8.617E-03,-1.455E-02, 4.286E-02, 1.138E+02, 1.315E+02, 3.328E+01, 5.158E-02
 3.300E+02,-8.840E-03,-1.627E-03,-1.450E-02,-2.196E-04,-6.724E-03,-1.049E-02, 4.241E-02, 1.215E+02, 1.468E+02, 3.715E+01, 5.114E-02
 3.400E+02,-6.140E-03,-1.126E-03,-1.844E-02,-1.000E-03,-4.791E-03,-9.016E-03, 4.051E-02, 1.285E+02, 1.706E+02, 3.845E+01, 5.059E-02
 3.500E+02,-4.108E-03,-7.393E-04,-1.161E-02,-1.021E-02,-3.264E-03,-6.445E-03, 3.637E-02, 1.411E+02, 1.941E+02, 4.383E+01, 5.026E-02
 3.600E+02,-2.560E-03,-4.697E-04,-7.729E-03,-5.034E-03,-2.148E-03,-4.688E-03, 2.263E-02, 1.711E+02, 2.630E+02, 4.708E+01, 4.919E-02
