s,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/m2/s,C,C,kW/m2,m
Time,mdot_hexane,mdot_heptane,mdot_octane,mdot_decane,mdot_benzene,mdot_toluene,mdot,Tsurf,Tsurf_max,flux,delta
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.000E+01, 2.000E+01, 9.000E+00, 6.000E-02
 1.001E+01,-5.018E-05,-1.932E-06,-8.847E-07,-5.667E-08,-8.961E-06,-2.762E-06, 6.478E-05, 2.612E+01, 2.662E+01, 4.360E+00, 6.000E-02
 2.001E+01,-5.963E-05,-2.333E-06,-1.078E-06,-6.989E-08,-1.073E-05,-3.329E-06, 7.717E-05, 2.773E+01, 2.912E+01, 3.630E-01, 6.000E-02
 3.003E+01,-5.724E-05,-2.263E-06,-1.050E-06,-6.831E-08,-1.039E-05,-3.236E-06, 7.425E-05, 2.784E+01, 3.021E+01, 3.475E-01, 6.000E-02
 4.002E+01,-5.749E-05,-2.298E-06,-1.071E-06,-6.999E-08,-1.052E-05,-3.292E-06, 7.474E-05, 2.804E+01, 3.104E+01, 3.499E-01, 6.000E-02
 5.001E+01,-5.829E-05,-2.357E-06,-1.104E-06,-7.249E-08,-1.076E-05,-3.383E-06, 7.596E-05, 2.827E+01, 3.191E+01, 3.559E-01, 6.000E-02
 6.000E+01,-5.968E-05,-2.443E-06,-1.151E-06,-7.595E-08,-1.111E-05,-3.514E-06, 7.797E-05, 2.851E+01, 3.279E+01, 3.618E-01, 5.999E-02
 7.001E+01,-5.884E-05,-2.439E-06,-1.156E-06,-7.663E-08,-1.106E-05,-3.515E-06, 7.708E-05, 2.877E+01, 3.359E+01, 3.561E-01, 5.999E-02
 8.001E+01,-6.027E-05,-2.531E-06,-1.206E-06,-8.035E-08,-1.144E-05,-3.654E-06, 7.918E-05, 2.903E+01, 3.438E+01, 3.626E-01, 5.999E-02
 9.001E+01,-5.938E-05,-2.527E-06,-1.211E-06,-8.119E-08,-1.138E-05,-3.656E-06, 7.824E-05, 2.931E+01, 3.541E+01, 3.603E-01, 5.999E-02
 1.000E+02,-6.019E-05,-2.596E-06,-1.252E-06,-8.434E-08,-1.165E-05,-3.764E-06, 7.954E-05, 2.958E+01, 3.623E+01, 3.644E-01, 5.999E-02
 1.100E+02,-6.315E-05,-2.763E-06,-1.341E-06,-9.092E-08,-1.235E-05,-4.015E-06, 8.372E-05, 2.986E+01, 3.724E+01, 3.801E-01, 5.999E-02
 1.200E+02,-6.141E-05,-2.727E-06,-1.332E-06,-9.092E-08,-1.215E-05,-3.974E-06, 8.168E-05, 3.016E+01, 3.796E+01, 3.707E-01, 5.999E-02
 1.300E+02,-6.120E-05,-2.757E-06,-1.356E-06,-9.307E-08,-1.224E-05,-4.029E-06, 8.168E-05, 3.044E+01, 3.879E+01, 3.682E-01, 5.998E-02
 1.400E+02,-6.358E-05,-2.910E-06,-1.441E-06,-9.956E-08,-1.287E-05,-4.265E-06, 8.517E-05, 3.073E+01, 3.932E+01, 3.847E-01, 5.998E-02
 1.500E+02,-6.328E-05,-2.943E-06,-1.468E-06,-1.021E-07,-1.297E-05,-4.326E-06, 8.509E-05, 3.099E+01, 4.018E+01, 3.801E-01, 5.998E-02
 1.600E+02,-6.376E-05,-3.006E-06,-1.508E-06,-1.054E-07,-1.320E-05,-4.429E-06, 8.601E-05, 3.126E+01, 4.096E+01, 3.843E-01, 5.998E-02
 1.700E+02,-6.484E-05,-3.094E-06,-1.561E-06,-1.097E-07,-1.355E-05,-4.569E-06, 8.773E-05, 3.151E+01, 4.194E+01, 3.882E-01, 5.998E-02
 1.800E+02,-6.443E-05,-3.101E-06,-1.572E-06,-1.110E-07,-1.354E-05,-4.584E-06, 8.734E-05, 3.180E+01, 4.285E+01, 3.862E-01, 5.998E-02
 1.900E+02,-6.515E-05,-3.180E-06,-1.622E-06,-1.153E-07,-1.384E-05,-4.714E-06, 8.862E-05, 3.207E+01, 4.377E+01, 3.895E-01, 5.998E-02
 2.000E+02,-6.618E-05,-3.255E-06,-1.669E-06,-1.193E-07,-1.413E-05,-4.830E-06, 9.018E-05, 3.235E+01, 4.475E+01, 3.975E-01, 5.998E-02
 2.100E+02,-6.786E-05,-3.385E-06,-1.748E-06,-1.258E-07,-1.464E-05,-5.036E-06, 9.279E-05, 3.265E+01, 4.573E+01, 4.043E-01, 5.997E-02
 2.200E+02,-6.695E-05,-3.386E-06,-1.759E-06,-1.273E-07,-1.460E-05,-5.053E-06, 9.187E-05, 3.292E+01, 4.653E+01, 3.992E-01, 5.997E-02
 2.300E+02,-6.673E-05,-3.420E-06,-1.789E-06,-1.303E-07,-1.470E-05,-5.118E-06, 9.188E-05, 3.320E+01, 4.754E+01, 3.986E-01, 5.997E-02
 2.400E+02,-6.958E-05,-3.604E-06,-1.897E-06,-1.391E-07,-1.545E-05,-5.406E-06, 9.608E-05, 3.348E+01, 4.807E+01, 4.153E-01, 5.997E-02
