s,kg/m2/s,C,C,kW/m2,m
Time,"mdot","Tsurf","Tsurf_max","flux","delta"
 0.000E+00, 0.000E+00, 2.000E+01, 2.000E+01, 9.000E+00, 5.500E-02
 1.001E+01, 2.827E-04, 3.256E+01, 4.607E+01, 5.498E+00, 5.500E-02
 2.000E+01, 2.335E-03, 4.644E+01, 8.163E+01, 6.717E+00, 5.499E-02
 3.000E+01, 1.316E-02, 6.693E+01, 9.099E+01, 1.753E+01, 5.498E-02
 4.000E+01, 2.245E-02, 7.679E+01, 9.065E+01, 1.840E+01, 5.475E-02
 5.000E+01, 2.598E-02, 7.885E+01, 9.121E+01, 1.720E+01, 5.433E-02
 6.001E+01, 2.941E-02, 8.339E+01, 9.794E+01, 1.765E+01, 5.383E-02
 7.000E+01, 2.939E-02, 8.866E+01, 1.041E+02, 1.780E+01, 5.329E-02
 8.000E+01, 2.857E-02, 9.495E+01, 1.103E+02, 1.775E+01, 5.282E-02
 9.000E+01, 2.517E-02, 1.009E+02, 1.116E+02, 1.731E+01, 5.234E-02
 1.000E+02, 2.348E-02, 1.051E+02, 1.129E+02, 1.704E+01, 5.198E-02
 1.100E+02, 2.277E-02, 1.095E+02, 1.186E+02, 1.778E+01, 5.161E-02
 1.200E+02, 2.263E-02, 1.146E+02, 1.257E+02, 1.868E+01, 5.128E-02
 1.300E+02, 2.089E-02, 1.191E+02, 1.280E+02, 1.861E+01, 5.093E-02
 1.400E+02, 1.848E-02, 1.223E+02, 1.321E+02, 1.963E+01, 5.067E-02
 1.500E+02, 1.602E-02, 1.254E+02, 1.354E+02, 1.929E+01, 5.046E-02
 1.600E+02, 1.564E-02, 1.279E+02, 1.399E+02, 2.038E+01, 5.028E-02
 1.700E+02, 1.319E-02, 1.325E+02, 1.527E+02, 2.151E+01, 5.012E-02
 1.800E+02, 8.867E-03, 1.391E+02, 1.635E+02, 2.093E+01, 5.005E-02
 1.900E+02, 6.243E-03, 1.429E+02, 1.688E+02, 1.985E+01, 5.001E-02
 2.000E+02, 3.583E-03, 1.406E+02, 1.689E+02, 1.447E+01, 5.000E-02
 2.100E+02, 2.271E-03, 1.299E+02, 1.553E+02, 7.966E+00, 5.000E-02
 2.200E+02, 1.431E-03, 1.175E+02, 1.374E+02, 4.602E+00, 5.000E-02
 2.300E+02, 8.430E-04, 1.049E+02, 1.289E+02, 1.713E+00, 5.000E-02
 2.400E+02, 6.219E-04, 9.700E+01, 1.288E+02, 1.279E+00, 5.000E-02
 2.500E+02, 5.253E-04, 9.165E+01, 1.275E+02, 1.063E+00, 5.000E-02
 2.600E+02, 4.768E-04, 8.751E+01, 1.277E+02, 9.625E-01, 5.000E-02
 2.700E+02, 4.603E-04, 8.434E+01, 1.282E+02, 1.024E+00, 5.000E-02
 2.800E+02, 3.986E-04, 8.178E+01, 1.292E+02, 9.916E-01, 5.000E-02
 2.900E+02, 2.731E-04, 7.845E+01, 1.304E+02, 5.629E-01, 5.000E-02
 3.000E+02, 1.045E-04, 7.483E+01, 1.162E+02, 8.192E-02, 5.000E-02
