s,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/m2/s,C,C,kW/m2,m
Time,mdot_hexane,mdot_heptane,mdot_octane,mdot_decane,mdot_benzene,mdot_toluene,mdot,Tsurf,Tsurf_max,flux,delta
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.000E+01, 2.000E+01, 9.000E+00, 5.500E-02
 1.002E+01,-5.024E-05,-1.934E-06,-8.857E-07,-5.674E-08,-8.971E-06,-2.765E-06, 6.485E-05, 2.613E+01, 2.663E+01, 4.350E+00, 5.500E-02
 2.000E+01,-5.941E-05,-2.323E-06,-1.073E-06,-6.962E-08,-1.069E-05,-3.315E-06, 7.688E-05, 2.775E+01, 2.910E+01, 3.569E-01, 5.500E-02
 3.001E+01,-5.868E-05,-2.319E-06,-1.076E-06,-7.006E-08,-1.064E-05,-3.316E-06, 7.610E-05, 2.789E+01, 3.014E+01, 3.532E-01, 5.500E-02
 4.002E+01,-5.761E-05,-2.303E-06,-1.074E-06,-7.020E-08,-1.054E-05,-3.298E-06, 7.490E-05, 2.810E+01, 3.115E+01, 3.498E-01, 5.500E-02
 5.001E+01,-5.843E-05,-2.362E-06,-1.107E-06,-7.269E-08,-1.077E-05,-3.389E-06, 7.613E-05, 2.836E+01, 3.209E+01, 3.514E-01, 5.500E-02
 6.001E+01,-5.908E-05,-2.417E-06,-1.139E-06,-7.514E-08,-1.099E-05,-3.474E-06, 7.717E-05, 2.860E+01, 3.285E+01, 3.554E-01, 5.499E-02
 7.002E+01,-5.863E-05,-2.428E-06,-1.150E-06,-7.629E-08,-1.101E-05,-3.497E-06, 7.679E-05, 2.887E+01, 3.351E+01, 3.510E-01, 5.499E-02
 8.002E+01,-5.928E-05,-2.487E-06,-1.185E-06,-7.903E-08,-1.123E-05,-3.588E-06, 7.785E-05, 2.914E+01, 3.429E+01, 3.543E-01, 5.499E-02
 9.001E+01,-5.920E-05,-2.515E-06,-1.205E-06,-8.084E-08,-1.132E-05,-3.636E-06, 7.796E-05, 2.942E+01, 3.515E+01, 3.544E-01, 5.499E-02
