s,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/m2/s,C,C,kW/m2,m
Time,mdot_hexane,mdot_heptane,mdot_octane,mdot_decane,mdot_benzene,mdot_toluene,mdot,Tsurf,Tsurf_max,flux,delta
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.000E+01, 2.000E+01, 9.000E+00, 5.100E-02
 1.001E+01,-8.235E-05,-3.197E-06,-1.472E-06,-9.507E-08,-1.475E-05,-4.561E-06, 1.064E-04, 2.638E+01, 2.739E+01, 4.685E+00, 5.100E-02
 2.001E+01,-1.181E-04,-4.721E-06,-2.209E-06,-1.458E-07,-2.149E-05,-6.728E-06, 1.534E-04, 2.903E+01, 3.424E+01, 9.665E-01, 5.100E-02
 3.001E+01,-1.183E-04,-4.864E-06,-2.307E-06,-1.543E-07,-2.196E-05,-6.958E-06, 1.545E-04, 2.955E+01, 3.982E+01, 9.739E-01, 5.099E-02
 4.001E+01,-1.182E-04,-5.002E-06,-2.403E-06,-1.628E-07,-2.242E-05,-7.191E-06, 1.553E-04, 2.986E+01, 4.435E+01, 9.753E-01, 5.099E-02
 5.001E+01,-1.175E-04,-5.125E-06,-2.496E-06,-1.711E-07,-2.282E-05,-7.411E-06, 1.555E-04, 3.010E+01, 4.880E+01, 9.722E-01, 5.099E-02
 6.001E+01,-1.180E-04,-5.316E-06,-2.627E-06,-1.827E-07,-2.350E-05,-7.739E-06, 1.573E-04, 3.034E+01, 5.292E+01, 9.827E-01, 5.098E-02
 7.000E+01,-1.170E-04,-5.451E-06,-2.735E-06,-1.927E-07,-2.393E-05,-7.994E-06, 1.573E-04, 3.057E+01, 5.665E+01, 9.767E-01, 5.098E-02
 8.001E+01,-1.175E-04,-5.624E-06,-2.858E-06,-2.038E-07,-2.455E-05,-8.297E-06, 1.590E-04, 3.081E+01, 6.053E+01, 9.843E-01, 5.097E-02
 9.001E+01,-1.196E-04,-5.862E-06,-3.016E-06,-2.181E-07,-2.544E-05,-8.692E-06, 1.628E-04, 3.108E+01, 6.423E+01, 1.003E+00, 5.097E-02
 1.000E+02,-1.218E-04,-6.133E-06,-3.205E-06,-2.357E-07,-2.644E-05,-9.152E-06, 1.669E-04, 3.137E+01, 6.830E+01, 1.028E+00, 5.096E-02
 1.100E+02,-1.319E-04,-6.380E-06,-3.387E-06,-2.535E-07,-2.732E-05,-9.592E-06, 1.788E-04, 3.168E+01, 7.019E+01, 1.080E+00, 5.096E-02
 1.200E+02,-5.587E-04,-8.676E-06,-4.337E-06,-3.401E-07,-6.320E-05,-1.195E-05, 6.473E-04, 3.305E+01, 7.780E+01, 2.767E+00, 5.094E-02
