s,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/m2/s,C,C,kW/m2,m
Time,mdot_iso-octane,mdot_nonane,mdot_iso-nonane,mdot_decane,mdot_iso-decane,mdot_undecane,mdot_decalin,mdot,Tsurf,Tsurf_max,flux,delta
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.000E+01, 2.000E+01, 3.600E+01, 7.000E-02
 1.003E+01,-4.332E-06,-3.773E-06,-1.660E-06,-1.493E-06,-1.466E-06,-4.663E-07,-2.103E-06, 1.529E-05, 4.994E+01, 5.043E+01, 3.589E+01, 7.000E-02
 2.000E+01,-5.706E-02,-3.905E-05,-2.799E-03,-1.125E-05,-1.030E-05,-3.981E-06,-1.212E-05, 5.994E-02, 1.133E+02, 1.178E+02, 5.383E+01, 6.976E-02
 3.000E+01,-3.043E-03,-4.414E-02,-9.054E-02,-3.331E-05,-7.278E-05,-1.274E-05,-3.277E-05, 1.379E-01, 1.577E+02, 1.636E+02, 3.722E+01, 6.826E-02
 4.000E+01,-8.599E-05,-7.727E-02,-1.816E-02,-1.133E-04,-2.632E-03,-1.874E-07,-4.735E-07, 9.826E-02, 1.673E+02, 1.709E+02, 3.175E+01, 6.602E-02
 5.000E+01,-6.686E-05,-3.047E-02,-7.646E-03,-3.174E-03,-1.872E-02,-2.248E-06,-5.611E-06, 6.009E-02, 1.732E+02, 1.770E+02, 2.869E+01, 6.523E-02
 6.000E+01,-7.459E-05,-2.152E-02,-7.306E-03,-4.262E-02,-4.184E-02,-3.976E-08,-9.885E-08, 1.134E-01, 1.770E+02, 1.858E+02, 3.316E+01, 6.346E-02
 7.000E+01,-7.658E-05,-1.575E-02,-6.174E-03,-3.677E-02,-2.667E-02,-3.477E-06,-9.038E-06, 8.545E-02, 1.795E+02, 1.888E+02, 3.034E+01, 6.206E-02
 8.000E+01,-8.238E-05,-1.327E-02,-5.469E-03,-3.255E-02,-1.230E-02,-3.805E-04,-2.115E-03, 6.616E-02, 1.871E+02, 1.959E+02, 2.980E+01, 6.113E-02
 9.000E+01,-9.890E-05,-1.469E-02,-6.383E-03,-2.409E-02,-1.236E-02,-6.138E-04,-5.228E-03, 6.346E-02, 1.903E+02, 1.960E+02, 2.952E+01, 6.023E-02
 1.000E+02,-1.052E-04,-1.217E-02,-5.507E-03,-1.806E-02,-9.771E-03,-8.440E-04,-7.102E-03, 5.356E-02, 1.933E+02, 1.960E+02, 2.815E+01, 5.931E-02
 1.100E+02,-1.183E-04,-1.273E-02,-6.026E-03,-1.630E-02,-9.929E-03,-9.297E-04,-9.771E-03, 5.581E-02, 1.944E+02, 1.960E+02, 2.825E+01, 5.852E-02
 1.200E+02,-1.192E-04,-1.197E-02,-6.102E-03,-1.492E-02,-8.897E-03,-1.146E-03,-1.295E-02, 5.610E-02, 1.950E+02, 1.960E+02, 2.865E+01, 5.765E-02
 1.300E+02,-1.268E-04,-1.050E-02,-5.801E-03,-1.195E-02,-7.438E-03,-1.477E-03,-1.385E-02, 5.114E-02, 1.955E+02, 1.960E+02, 2.847E+01, 5.683E-02
 1.400E+02,-1.094E-04,-7.877E-03,-4.400E-03,-9.048E-03,-5.507E-03,-2.170E-03,-1.435E-02, 4.346E-02, 1.955E+02, 1.961E+02, 2.875E+01, 5.623E-02
 1.500E+02,-8.871E-05,-6.350E-03,-3.798E-03,-6.937E-03,-4.296E-03,-2.506E-03,-1.527E-02, 3.924E-02, 1.955E+02, 1.960E+02, 2.815E+01, 5.576E-02
 1.600E+02,-6.211E-05,-4.107E-03,-2.505E-03,-4.461E-03,-2.736E-03,-4.071E-03,-1.922E-02, 3.716E-02, 1.955E+02, 1.962E+02, 3.187E+01, 5.531E-02
 1.700E+02,-5.051E-05,-3.384E-03,-2.088E-03,-3.607E-03,-2.232E-03,-5.017E-03,-2.153E-02, 3.791E-02, 1.955E+02, 1.966E+02, 3.413E+01, 5.493E-02
 1.800E+02,-3.229E-05,-1.768E-03,-1.066E-03,-1.897E-03,-1.165E-03,-5.861E-03,-2.501E-02, 3.680E-02, 1.956E+02, 1.969E+02, 3.634E+01, 5.450E-02
 1.900E+02,-2.848E-05,-1.795E-03,-1.192E-03,-1.882E-03,-1.132E-03,-5.055E-03,-2.943E-02, 4.052E-02, 1.956E+02, 1.965E+02, 3.351E+01, 5.399E-02
