s,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/m2/s,C,C,kW/m2,m
Time,mdot_hexane,mdot_heptane,mdot_octane,mdot_decane,mdot_benzene,mdot_toluene,mdot,Tsurf,Tsurf_max,flux,delta
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.000E+01, 2.000E+01, 9.000E+00, 5.100E-02
 1.001E+01,-8.392E-05,-3.265E-06,-1.507E-06,-9.772E-08,-1.503E-05,-4.653E-06, 1.085E-04, 2.668E+01, 2.771E+01, 4.660E+00, 5.100E-02
 2.001E+01,-1.303E-04,-5.274E-06,-2.495E-06,-1.678E-07,-2.373E-05,-7.472E-06, 1.694E-04, 3.104E+01, 3.684E+01, 1.028E+00, 5.100E-02
 3.001E+01,-1.448E-04,-6.112E-06,-2.962E-06,-2.056E-07,-2.702E-05,-8.661E-06, 1.897E-04, 3.317E+01, 4.549E+01, 1.147E+00, 5.099E-02
 4.000E+01,-1.537E-04,-6.798E-06,-3.380E-06,-2.423E-07,-2.957E-05,-9.667E-06, 2.033E-04, 3.483E+01, 5.655E+01, 1.217E+00, 5.099E-02
 5.000E+01,-4.032E-04,-8.026E-06,-4.122E-06,-3.082E-07,-4.996E-05,-1.148E-05, 4.771E-04, 3.655E+01, 6.854E+01, 1.988E+00, 5.098E-02
 6.000E+01,-4.990E-03,-2.358E-04,-3.721E-05,-5.457E-07,-1.109E-03,-3.906E-04, 6.763E-03, 4.392E+01, 8.544E+01, 1.067E+01, 5.056E-02
 7.000E+01,-1.327E-02,-1.115E-03,-1.099E-03,-3.599E-04,-4.359E-03,-2.707E-03, 2.291E-02, 7.613E+01, 2.572E+02, 2.631E+01, 4.985E-02
 8.000E+01,-1.331E-02,-1.335E-03,-1.495E-03,-5.226E-04,-5.067E-03,-3.346E-03, 2.507E-02, 1.881E+02, 4.490E+02, 4.570E+01, 4.974E-02
 9.000E+01,-4.666E-03,-8.683E-04,-1.130E-03,-4.061E-04,-2.966E-03,-2.429E-03, 1.247E-02, 3.134E+02, 5.631E+02, 4.140E+01, 4.974E-02
 1.000E+02,-6.093E-04,-2.738E-04,-6.081E-04,-2.005E-04,-7.426E-04,-9.175E-04, 3.352E-03, 2.880E+02, 4.364E+02, 1.013E+01, 4.974E-02
 1.100E+02,-3.169E-05,-5.426E-05,-1.541E-04,-8.936E-05,-1.117E-04,-2.229E-04, 6.641E-04, 2.162E+02, 3.142E+02,-1.376E+00, 4.974E-02
 1.200E+02,-8.418E-16,-5.862E-06,-2.582E-05,-1.632E-05,-5.629E-06,-2.651E-05, 8.013E-05, 1.719E+02, 2.299E+02,-2.574E+00, 4.974E-02
