s,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/m2/s,C,C,kW/m2,m
Time,mdot_hexane,mdot_heptane,mdot_octane,mdot_decane,mdot_benzene,mdot_toluene,mdot,Tsurf,Tsurf_max,flux,delta
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.000E+01, 2.000E+01, 9.000E+00, 5.100E-02
 1.000E+01,-5.042E-05,-1.943E-06,-8.901E-07,-5.707E-08,-9.006E-06,-2.777E-06, 6.509E-05, 2.621E+01, 2.670E+01, 4.352E+00, 5.100E-02
 2.002E+01,-5.910E-05,-2.316E-06,-1.071E-06,-6.959E-08,-1.064E-05,-3.303E-06, 7.650E-05, 2.791E+01, 2.924E+01, 3.576E-01, 5.100E-02
 3.003E+01,-5.457E-05,-2.155E-06,-9.984E-07,-6.475E-08,-9.910E-06,-3.087E-06, 7.079E-05, 2.749E+01, 2.949E+01, 3.318E-01, 5.100E-02
 4.002E+01,-5.567E-05,-2.215E-06,-1.028E-06,-6.649E-08,-1.020E-05,-3.186E-06, 7.236E-05, 2.700E+01, 2.947E+01, 3.422E-01, 5.100E-02
 5.001E+01,-5.406E-05,-2.169E-06,-1.008E-06,-6.511E-08,-9.991E-06,-3.131E-06, 7.042E-05, 2.658E+01, 2.938E+01, 3.344E-01, 5.099E-02
 6.002E+01,-5.075E-05,-2.053E-06,-9.563E-07,-6.174E-08,-9.461E-06,-2.976E-06, 6.626E-05, 2.625E+01, 2.955E+01, 3.190E-01, 5.099E-02
 7.000E+01,-5.214E-05,-2.126E-06,-9.925E-07,-6.404E-08,-9.799E-06,-3.092E-06, 6.821E-05, 2.600E+01, 2.959E+01, 3.270E-01, 5.099E-02
 8.002E+01,-5.014E-05,-2.064E-06,-9.664E-07,-6.240E-08,-9.506E-06,-3.011E-06, 6.575E-05, 2.580E+01, 2.968E+01, 3.161E-01, 5.099E-02
 9.002E+01,-5.023E-05,-2.087E-06,-9.799E-07,-6.331E-08,-9.604E-06,-3.054E-06, 6.602E-05, 2.566E+01, 2.975E+01, 3.162E-01, 5.099E-02
 1.000E+02,-4.878E-05,-2.046E-06,-9.638E-07,-6.235E-08,-9.408E-06,-3.003E-06, 6.426E-05, 2.555E+01, 2.977E+01, 3.101E-01, 5.099E-02
 1.100E+02,-4.951E-05,-2.098E-06,-9.914E-07,-6.423E-08,-9.632E-06,-3.087E-06, 6.538E-05, 2.550E+01, 2.993E+01, 3.164E-01, 5.099E-02
 1.200E+02,-4.807E-05,-2.057E-06,-9.756E-07,-6.331E-08,-9.434E-06,-3.036E-06, 6.364E-05, 2.544E+01, 2.991E+01, 3.078E-01, 5.099E-02
