s,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/m2/s,C,C,kW/m2,m
Time,mdot_hexane,mdot_heptane,mdot_octane,mdot_decane,mdot_benzene,mdot_toluene,mdot,Tsurf,Tsurf_max,flux,delta
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.000E+01, 2.000E+01, 9.000E+00, 6.000E-02
 1.001E+01,-5.018E-05,-1.932E-06,-8.846E-07,-5.667E-08,-8.961E-06,-2.762E-06, 6.477E-05, 2.612E+01, 2.662E+01, 4.361E+00, 6.000E-02
 2.003E+01,-5.964E-05,-2.333E-06,-1.078E-06,-6.989E-08,-1.073E-05,-3.329E-06, 7.717E-05, 2.773E+01, 2.912E+01, 3.630E-01, 6.000E-02
 3.003E+01,-5.730E-05,-2.265E-06,-1.051E-06,-6.840E-08,-1.040E-05,-3.240E-06, 7.432E-05, 2.784E+01, 3.027E+01, 3.498E-01, 6.000E-02
 4.001E+01,-5.768E-05,-2.306E-06,-1.075E-06,-7.021E-08,-1.055E-05,-3.304E-06, 7.499E-05, 2.803E+01, 3.108E+01, 3.500E-01, 6.000E-02
 5.001E+01,-5.743E-05,-2.323E-06,-1.088E-06,-7.145E-08,-1.060E-05,-3.334E-06, 7.485E-05, 2.826E+01, 3.191E+01, 3.494E-01, 5.999E-02
 6.001E+01,-5.964E-05,-2.441E-06,-1.150E-06,-7.585E-08,-1.110E-05,-3.510E-06, 7.791E-05, 2.852E+01, 3.258E+01, 3.627E-01, 5.999E-02
 7.002E+01,-5.792E-05,-2.400E-06,-1.137E-06,-7.539E-08,-1.088E-05,-3.459E-06, 7.587E-05, 2.877E+01, 3.355E+01, 3.514E-01, 5.999E-02
 8.002E+01,-6.081E-05,-2.553E-06,-1.216E-06,-8.109E-08,-1.154E-05,-3.686E-06, 7.989E-05, 2.904E+01, 3.440E+01, 3.688E-01, 5.999E-02
 9.001E+01,-5.973E-05,-2.541E-06,-1.218E-06,-8.163E-08,-1.145E-05,-3.677E-06, 7.870E-05, 2.929E+01, 3.511E+01, 3.616E-01, 5.999E-02
 1.000E+02,-6.126E-05,-2.642E-06,-1.274E-06,-8.585E-08,-1.186E-05,-3.832E-06, 8.095E-05, 2.956E+01, 3.603E+01, 3.695E-01, 5.999E-02
 1.100E+02,-6.069E-05,-2.657E-06,-1.290E-06,-8.747E-08,-1.188E-05,-3.862E-06, 8.046E-05, 2.985E+01, 3.695E+01, 3.694E-01, 5.999E-02
 1.200E+02,-6.277E-05,-2.787E-06,-1.362E-06,-9.294E-08,-1.242E-05,-4.062E-06, 8.349E-05, 3.012E+01, 3.785E+01, 3.783E-01, 5.999E-02
 1.300E+02,-6.217E-05,-2.802E-06,-1.378E-06,-9.455E-08,-1.244E-05,-4.095E-06, 8.298E-05, 3.040E+01, 3.876E+01, 3.754E-01, 5.998E-02
 1.400E+02,-6.211E-05,-2.842E-06,-1.407E-06,-9.711E-08,-1.257E-05,-4.165E-06, 8.320E-05, 3.065E+01, 3.956E+01, 3.740E-01, 5.998E-02
 1.500E+02,-6.328E-05,-2.940E-06,-1.466E-06,-1.018E-07,-1.296E-05,-4.323E-06, 8.507E-05, 3.093E+01, 4.037E+01, 3.803E-01, 5.998E-02
 1.600E+02,-6.170E-05,-2.906E-06,-1.457E-06,-1.018E-07,-1.277E-05,-4.282E-06, 8.322E-05, 3.120E+01, 4.107E+01, 3.727E-01, 5.998E-02
 1.700E+02,-6.366E-05,-3.034E-06,-1.531E-06,-1.075E-07,-1.329E-05,-4.481E-06, 8.610E-05, 3.148E+01, 4.183E+01, 3.818E-01, 5.998E-02
 1.800E+02,-6.384E-05,-3.070E-06,-1.556E-06,-1.099E-07,-1.341E-05,-4.538E-06, 8.653E-05, 3.176E+01, 4.261E+01, 3.857E-01, 5.998E-02
 1.900E+02,-6.564E-05,-3.200E-06,-1.633E-06,-1.160E-07,-1.393E-05,-4.743E-06, 8.926E-05, 3.205E+01, 4.336E+01, 3.934E-01, 5.998E-02
 2.000E+02,-6.620E-05,-3.253E-06,-1.667E-06,-1.190E-07,-1.413E-05,-4.827E-06, 9.019E-05, 3.234E+01, 4.416E+01, 3.993E-01, 5.998E-02
 2.100E+02,-6.630E-05,-3.301E-06,-1.702E-06,-1.223E-07,-1.429E-05,-4.911E-06, 9.063E-05, 3.261E+01, 4.494E+01, 3.968E-01, 5.997E-02
 2.200E+02,-6.759E-05,-3.416E-06,-1.774E-06,-1.284E-07,-1.473E-05,-5.097E-06, 9.273E-05, 3.287E+01, 4.583E+01, 4.041E-01, 5.997E-02
 2.300E+02,-6.756E-05,-3.458E-06,-1.807E-06,-1.315E-07,-1.487E-05,-5.175E-06, 9.300E-05, 3.314E+01, 4.686E+01, 4.044E-01, 5.997E-02
 2.400E+02,-6.971E-05,-3.611E-06,-1.900E-06,-1.393E-07,-1.547E-05,-5.415E-06, 9.625E-05, 3.342E+01, 4.752E+01, 4.191E-01, 5.997E-02
