s,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/m2/s,C,C,kW/m2,m
Time,mdot_hexane,mdot_heptane,mdot_octane,mdot_decane,mdot_benzene,mdot_toluene,mdot,Tsurf,Tsurf_max,flux,delta
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.000E+01, 2.000E+01, 9.000E+00, 5.500E-02
 1.000E+01,-6.341E-05,-2.449E-06,-1.124E-06,-7.222E-08,-1.134E-05,-3.498E-06, 8.189E-05, 2.619E+01, 2.717E+01, 4.500E+00, 5.500E-02
 2.001E+01,-7.907E-05,-3.115E-06,-1.445E-06,-9.428E-08,-1.428E-05,-4.442E-06, 1.024E-04, 2.814E+01, 3.150E+01, 5.749E-01, 5.500E-02
 3.001E+01,-8.366E-05,-3.356E-06,-1.571E-06,-1.035E-07,-1.529E-05,-4.794E-06, 1.088E-04, 2.866E+01, 3.455E+01, 6.089E-01, 5.500E-02
 4.001E+01,-8.629E-05,-3.532E-06,-1.670E-06,-1.112E-07,-1.599E-05,-5.055E-06, 1.126E-04, 2.925E+01, 3.774E+01, 6.260E-01, 5.499E-02
 5.001E+01,-8.728E-05,-3.648E-06,-1.743E-06,-1.174E-07,-1.640E-05,-5.232E-06, 1.144E-04, 2.986E+01, 4.077E+01, 6.327E-01, 5.499E-02
 6.001E+01,-9.044E-05,-3.867E-06,-1.868E-06,-1.275E-07,-1.726E-05,-5.558E-06, 1.191E-04, 3.052E+01, 4.412E+01, 6.542E-01, 5.499E-02
 7.001E+01,-9.591E-05,-4.204E-06,-2.057E-06,-1.424E-07,-1.862E-05,-6.061E-06, 1.270E-04, 3.121E+01, 4.742E+01, 6.939E-01, 5.498E-02
 8.000E+01,-9.896E-05,-4.460E-06,-2.213E-06,-1.556E-07,-1.959E-05,-6.453E-06, 1.318E-04, 3.191E+01, 5.040E+01, 7.139E-01, 5.498E-02
 9.001E+01,-1.007E-04,-4.672E-06,-2.353E-06,-1.682E-07,-2.035E-05,-6.789E-06, 1.350E-04, 3.262E+01, 5.412E+01, 7.256E-01, 5.498E-02
