s,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/m2/s,C,C,kW/m2,m
Time,mdot_iso-octane,mdot_nonane,mdot_iso-nonane,mdot_decane,mdot_iso-decane,mdot_undecane,mdot_decalin,mdot,Tsurf,Tsurf_max,flux,delta
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.000E+01, 2.000E+01, 3.600E+01, 6.000E-02
 1.001E+01,-4.804E-06,-4.215E-06,-1.865E-06,-1.671E-06,-1.639E-06,-5.230E-07,-2.342E-06, 1.706E-05, 4.988E+01, 5.037E+01, 3.591E+01, 6.000E-02
 2.000E+01,-3.062E-02,-6.613E-04,-4.638E-03,-2.174E-05,-1.955E-05,-7.938E-06,-2.256E-05, 3.599E-02, 1.156E+02, 1.207E+02, 5.899E+01, 5.981E-02
 3.000E+01,-7.780E-19,-9.719E-02,-8.691E-02,-3.455E-05,-9.656E-05,-1.331E-05,-3.413E-05, 1.843E-01, 1.608E+02, 1.668E+02, 4.077E+01, 5.797E-02
 4.000E+01,-2.836E-19,-4.051E-02,-3.394E-04,-2.795E-03,-1.236E-02,-4.771E-05,-1.198E-04, 5.617E-02, 1.716E+02, 1.773E+02, 4.044E+01, 5.639E-02
 5.000E+01,-7.122E-19,-5.735E-03,-7.716E-05,-5.483E-02,-6.381E-02,-1.793E-06,-4.519E-06, 1.245E-01, 1.759E+02, 1.831E+02, 3.741E+01, 5.506E-02
 6.000E+01,-3.850E-19,-1.285E-03,-2.379E-05,-4.547E-02,-7.297E-03,-4.810E-04,-1.494E-03, 5.605E-02, 1.810E+02, 1.917E+02, 3.924E+01, 5.364E-02
 7.000E+01,-1.489E-19,-2.333E-04,-3.582E-06,-9.382E-03,-6.751E-04,-2.864E-03,-1.590E-02, 2.905E-02, 1.915E+02, 1.981E+02, 5.198E+01, 5.334E-02
 8.000E+01,-4.049E-19,-2.826E-05,-3.242E-07,-1.617E-03,-6.338E-05,-5.610E-03,-3.603E-02, 4.334E-02, 1.940E+02, 1.987E+02, 4.567E+01, 5.287E-02
 9.000E+01,-2.815E-19,-1.098E-06,-1.007E-08,-7.937E-04,-2.129E-06,-7.391E-03,-4.900E-02, 5.719E-02, 1.948E+02, 1.983E+02, 3.672E+01, 5.207E-02
 1.000E+02,-2.489E-19,-2.194E-19,-2.327E-19,-5.380E-05,-2.239E-19,-1.458E-02,-4.357E-02, 5.820E-02, 1.953E+02, 2.033E+02, 3.334E+01, 5.112E-02
