s,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/m2/s,C,C,kW/m2,m
Time,mdot_hexane,mdot_heptane,mdot_octane,mdot_decane,mdot_benzene,mdot_toluene,mdot,Tsurf,Tsurf_max,flux,delta
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.000E+01, 2.000E+01, 9.000E+00, 5.400E-02
 1.000E+01,-8.181E-05,-3.177E-06,-1.462E-06,-9.436E-08,-1.466E-05,-4.535E-06, 1.057E-04, 2.629E+01, 2.728E+01, 4.696E+00, 5.400E-02
 2.001E+01,-1.169E-04,-4.686E-06,-2.194E-06,-1.446E-07,-2.134E-05,-6.688E-06, 1.520E-04, 2.884E+01, 3.389E+01, 9.624E-01, 5.400E-02
 3.001E+01,-1.201E-04,-4.983E-06,-2.374E-06,-1.595E-07,-2.243E-05,-7.135E-06, 1.571E-04, 2.990E+01, 3.961E+01, 9.916E-01, 5.399E-02
 4.001E+01,-1.239E-04,-5.350E-06,-2.599E-06,-1.785E-07,-2.378E-05,-7.692E-06, 1.635E-04, 3.100E+01, 4.572E+01, 1.022E+00, 5.399E-02
 5.001E+01,-1.300E-04,-5.857E-06,-2.907E-06,-2.045E-07,-2.571E-05,-8.466E-06, 1.731E-04, 3.215E+01, 5.170E+01, 1.071E+00, 5.399E-02
 6.001E+01,-1.355E-04,-6.408E-06,-3.260E-06,-2.356E-07,-2.774E-05,-9.329E-06, 1.825E-04, 3.332E+01, 5.966E+01, 1.121E+00, 5.398E-02
 7.000E+01,-1.501E-04,-7.250E-06,-3.780E-06,-2.818E-07,-3.095E-05,-1.061E-05, 2.029E-04, 3.462E+01, 6.742E+01, 1.231E+00, 5.397E-02
 8.000E+01,-9.748E-04,-9.578E-06,-5.189E-06,-4.094E-07,-3.998E-05,-1.406E-05, 1.044E-03, 3.714E+01, 7.326E+01, 3.609E+00, 5.393E-02
 9.000E+01,-5.138E-03,-1.377E-05,-7.883E-06,-6.730E-07,-6.373E-05,-2.025E-05, 5.244E-03, 4.410E+01, 8.168E+01, 9.334E+00, 5.327E-02
 1.000E+02,-1.530E-02,-1.867E-05,-1.114E-05,-1.011E-06,-3.183E-04,-2.737E-05, 1.567E-02, 5.552E+01, 8.375E+01, 1.773E+01, 5.198E-02
 1.100E+02,-3.145E-02,-2.087E-05,-1.272E-05,-1.199E-06,-1.885E-03,-3.038E-05, 3.340E-02, 6.779E+01, 8.886E+01, 2.783E+01, 5.154E-02
 1.200E+02,-4.145E-02,-1.723E-04,-9.388E-06,-9.068E-07,-7.099E-03,-2.894E-05, 4.876E-02, 7.779E+01, 9.820E+01, 3.670E+01, 5.117E-02
 1.300E+02,-3.471E-02,-1.655E-03,-1.441E-05,-9.855E-07,-1.667E-02,-8.294E-04, 5.389E-02, 8.681E+01, 1.109E+02, 4.094E+01, 5.085E-02
 1.400E+02,-1.582E-02,-6.202E-03,-1.663E-03,-8.753E-06,-1.570E-02,-9.748E-03, 4.914E-02, 9.862E+01, 1.165E+02, 4.745E+01, 5.046E-02
 1.500E+02,-4.504E-03,-3.150E-03,-8.273E-03,-2.557E-03,-8.737E-03,-1.416E-02, 4.138E-02, 1.187E+02, 1.853E+02, 5.373E+01, 4.992E-02
 1.600E+02,-6.959E-04,-1.525E-03,-2.354E-03,-1.427E-03,-3.907E-03,-4.460E-03, 1.437E-02, 1.749E+02, 2.788E+02, 5.194E+01, 4.919E-02
 1.700E+02,-8.927E-05,-6.922E-04,-8.724E-04,-5.324E-04,-1.387E-03,-2.018E-03, 5.591E-03, 1.812E+02, 2.864E+02, 2.542E+01, 4.919E-02
 1.800E+02,-3.068E-05,-2.862E-04,-4.301E-04,-2.011E-04,-5.497E-04,-8.951E-04, 2.393E-03, 1.592E+02, 2.748E+02, 9.037E+00, 4.919E-02
 1.900E+02,-6.972E-07,-3.828E-04,-3.698E-04,-1.333E-04,-1.035E-04,-8.078E-04, 1.798E-03, 1.449E+02, 2.770E+02, 7.504E+00, 4.919E-02
 2.000E+02,-2.491E-11,-1.012E-04,-3.496E-04,-1.015E-04,-8.180E-05,-8.692E-04, 1.503E-03, 1.355E+02, 2.907E+02, 5.780E+00, 4.919E-02
 2.100E+02,-2.232E-11,-3.008E-05,-3.065E-04,-9.803E-05,-5.971E-05,-3.947E-04, 8.889E-04, 1.264E+02, 2.926E+02, 3.261E+00, 4.919E-02
 2.200E+02,-2.135E-11,-2.950E-05,-1.575E-04,-5.987E-05,-1.476E-05,-1.730E-04, 4.346E-04, 1.171E+02, 2.630E+02, 9.641E-01, 4.919E-02
 2.300E+02,-1.956E-11,-1.934E-05,-5.989E-05,-2.938E-05,-1.482E-05,-9.933E-05, 2.228E-04, 1.085E+02, 2.195E+02,-1.086E-01, 4.919E-02
 2.400E+02,-1.949E-11,-1.242E-05,-4.856E-05,-1.739E-05,-6.297E-07,-7.546E-05, 1.544E-04, 1.018E+02, 1.933E+02,-3.290E-01, 4.919E-02
 2.500E+02,-1.773E-11,-3.811E-06,-4.782E-05,-1.277E-05,-5.930E-07,-4.540E-05, 1.104E-04, 9.654E+01, 1.761E+02,-3.971E-01, 4.919E-02
 2.600E+02,-1.699E-11,-2.992E-06,-1.893E-05,-8.808E-06,-5.715E-07,-2.657E-05, 5.787E-05, 9.214E+01, 1.631E+02,-4.679E-01, 4.919E-02
 2.700E+02,-1.638E-11,-2.812E-06,-1.685E-05,-6.919E-06,-5.543E-07,-1.878E-05, 4.592E-05, 8.842E+01, 1.528E+02,-4.569E-01, 4.919E-02
 2.800E+02,-1.620E-11,-2.532E-06,-1.529E-05,-5.965E-06,-5.209E-07,-1.522E-05, 3.952E-05, 8.520E+01, 1.445E+02,-4.437E-01, 4.919E-02
 2.900E+02,-1.522E-11,-2.703E-06,-1.566E-05,-5.761E-06,-5.269E-07,-1.633E-05, 4.098E-05, 8.242E+01, 1.375E+02,-3.988E-01, 4.919E-02
 3.000E+02,-1.460E-11,-2.423E-06,-1.431E-05,-5.322E-06,-5.062E-07,-1.493E-05, 3.749E-05, 7.995E+01, 1.315E+02,-3.768E-01, 4.919E-02
